symbol,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent,capital
360ONE,64,47,73.44,9.78,0.15,1098884.87
3MINDIA,53,40,75.47,4.86,0.09,1047461.13
AADHARHFC,65,48,73.85,0.05,0.00,995826.26
AARTIIND,59,43,72.88,-5.36,-0.09,938039.14
AAVAS,60,45,75.00,14.96,0.25,1154016.69
ABB,55,32,58.18,-12.14,-0.22,881540.06
ABBOTINDIA,60,46,76.67,8.38,0.14,1084212.93
ABCAPITAL,60,36,60.00,-17.19,-0.29,837821.87
ABDL,62,45,72.58,17.00,0.27,1174290.83
ABFRL,57,40,70.18,-2.46,-0.04,972521.47
ABLBL,57,39,68.42,3.06,0.05,1028838.79
ABREL,58,41,70.69,7.67,0.13,1076550.21
ABSLAMC,62,49,79.03,18.79,0.30,1197557.84
ACC,57,35,61.40,-4.66,-0.08,951167.99
ACE,61,41,67.21,-2.05,-0.03,973366.57
ACMESOLAR,61,51,83.61,25.21,0.41,1278652.35
ACUTAAS,58,43,74.14,21.78,0.38,1234895.87
ADANIENSOL,55,43,78.18,9.57,0.17,1094327.46
ADANIENT,53,38,71.70,11.68,0.22,1120694.63
ADANIGREEN,58,39,67.24,8.51,0.15,1082901.60
ADANIPORTS,57,43,75.44,10.64,0.19,1108674.15
ADANIPOWER,53,37,69.81,6.27,0.12,1061376.66
AEGISLOG,61,46,75.41,-11.12,-0.18,876815.20
AEGISVOPAK,61,46,75.41,-2.29,-0.04,963864.05
AFCONS,59,39,66.10,12.92,0.22,1133950.10
AFFLE,59,44,74.58,-5.77,-0.10,935269.84
AIAENG,62,49,79.03,11.98,0.19,1124056.89
AIIL,61,43,70.49,-19.21,-0.31,812584.45
AJANTPHARM,61,47,77.05,25.28,0.41,1282664.68
ALKEM,54,46,85.19,18.38,0.34,1199081.26
AMBER,63,42,66.67,-4.52,-0.07,950920.49
AMBUJACEM,57,38,66.67,0.13,0.00,997476.66
ANANDRATHI,58,41,70.69,11.07,0.19,1114826.11
ANANTRAJ,61,46,75.41,21.11,0.35,1226909.99
ANGELONE,55,40,72.73,14.18,0.26,1148773.68
ANTHEM,58,44,75.86,16.87,0.29,1179830.86
ANURAS,56,47,83.93,18.32,0.33,1199359.16
APARINDS,64,45,70.31,-10.02,-0.16,890664.70
APLAPOLLO,54,38,70.37,18.79,0.35,1205365.21
APOLLOHOSP,62,51,82.26,20.82,0.34,1228962.21
APOLLOTYRE,62,42,67.74,5.86,0.09,1056479.19
APTUS,61,37,60.66,-2.75,-0.05,968737.92
ASAHIINDIA,57,45,78.95,16.98,0.30,1182495.87
ASHOKLEY,56,32,57.14,-13.75,-0.25,864443.67
ASIANPAINT,56,37,66.07,15.21,0.27,1161320.03
ASTERDM,53,43,81.13,23.71,0.45,1261919.62
ASTRAL,63,45,71.43,8.94,0.14,1088425.44
ATGL,58,39,67.24,-2.28,-0.04,970775.08
ATHERENERG,65,50,76.92,-4.14,-0.06,945062.07
ATUL,54,46,85.19,20.86,0.39,1228624.53
AUBANK,57,41,71.93,14.64,0.26,1154812.41
AUROPHARMA,59,44,74.58,-0.33,-0.01,992575.52
AWL,63,45,71.43,3.93,0.06,1034870.88
AXISBANK,56,43,76.79,3.84,0.07,1037293.08
BAJAJ-AUTO,54,41,75.93,8.32,0.15,1084422.84
BAJAJFINSV,61,45,73.77,-0.78,-0.01,988687.67
BAJAJHFL,52,24,46.15,-2.87,-0.06,970367.98
BAJAJHLDNG,60,45,75.00,5.30,0.09,1049849.31
BAJFINANCE,57,30,52.63,-1.88,-0.03,976824.46
BALKRISIND,58,40,68.97,-12.27,-0.21,876458.52
BALRAMCHIN,61,44,72.13,-1.51,-0.02,975561.44
BANDHANBNK,59,43,72.88,-10.71,-0.18,891442.64
BANKBARODA,60,42,70.00,5.30,0.09,1052309.22
BANKINDIA,55,38,69.09,-4.51,-0.08,951151.63
BATAINDIA,52,36,69.23,7.13,0.14,1070876.83
BAYERCROP,58,41,70.69,1.78,0.03,1016109.43
BBTC,55,36,65.45,-7.34,-0.13,920059.23
BDL,61,39,63.93,-11.03,-0.18,889179.50
BEL,57,40,70.18,1.89,0.03,1016578.13
BELRISE,57,41,71.93,-9.01,-0.16,908640.39
BEML,59,46,77.97,11.46,0.19,1116899.49
BERGEPAINT,56,41,73.21,11.10,0.20,1113530.95
BHARATFORG,62,48,77.42,14.19,0.23,1149589.31
BHARTIARTL,58,36,62.07,10.79,0.19,1111275.99
BHARTIHEXA,58,44,75.86,2.48,0.04,1021552.22
BHEL,56,37,66.07,13.39,0.24,1136328.38
BIKAJI,54,48,88.89,17.85,0.33,1192691.45
BIOCON,56,41,73.21,6.18,0.11,1061271.62
BLS,58,42,72.41,9.99,0.17,1099995.47
BLUEDART,54,34,62.96,-1.93,-0.04,978523.76
BLUEJET,62,48,77.42,31.39,0.51,1361588.68
BLUESTARCO,60,41,68.33,-6.70,-0.11,930187.31
BOSCHLTD,58,43,74.14,-4.28,-0.07,958044.89
BPCL,59,35,59.32,5.91,0.10,1056860.30
BRIGADE,64,45,70.31,-2.41,-0.04,967267.75
BRITANNIA,58,42,72.41,7.73,0.13,1078576.96
BSE,59,43,72.88,14.21,0.24,1148593.97
BSOFT,56,31,55.36,-18.42,-0.33,824076.88
CAMS,58,37,63.79,-8.02,-0.14,918752.48
CANBK,60,35,58.33,-1.15,-0.02,985274.01
CANFINHOME,62,52,83.87,18.45,0.30,1198969.40
CANHLIFE,61,47,77.05,21.24,0.35,1232238.13
CAPLIPOINT,59,47,79.66,13.72,0.23,1140243.05
CARBORUNIV,60,41,68.33,5.14,0.09,1041932.06
CARTRADE,59,49,83.05,-2.85,-0.05,962185.04
CASTROLIND,45,34,75.56,3.87,0.09,1039182.11
CCL,59,52,88.14,17.37,0.29,1187193.85
CDSL,60,41,68.33,-2.36,-0.04,971681.70
CEATLTD,63,40,63.49,-11.98,-0.19,883005.76
CEMPRO,63,45,71.43,24.79,0.39,1268657.18
CENTRALBK,56,40,71.43,-0.47,-0.01,993303.25
CESC,56,35,62.50,-10.77,-0.19,894797.50
CGCL,62,50,80.65,23.59,0.38,1257881.54
CGPOWER,60,44,73.33,4.82,0.08,1042956.93
CHALET,60,47,78.33,12.87,0.21,1134425.50
CHAMBLFERT,59,41,69.49,0.53,0.01,1001574.73
CHENNPETRO,62,44,70.97,-18.04,-0.29,824785.91
CHOICEIN,60,37,61.67,-10.08,-0.17,900764.64
CHOLAFIN,59,30,50.85,-15.49,-0.26,852201.83
CHOLAHLDNG,60,41,68.33,-9.68,-0.16,902842.54
CIEINDIA,55,41,74.55,8.09,0.15,1081718.06
CIPLA,53,39,73.58,-0.03,-0.00,998034.24
CLEAN,58,36,62.07,-7.59,-0.13,923347.59
COALINDIA,52,37,71.15,0.18,0.00,1000059.01
COCHINSHIP,58,34,58.62,-2.44,-0.04,972329.86
COFORGE,62,36,58.06,-3.74,-0.06,950370.63
COHANCE,55,38,69.09,3.89,0.07,1035970.23
COLPAL,56,44,78.57,-1.00,-0.02,987423.02
CONCOR,60,37,61.67,-1.19,-0.02,984155.07
CONCORDBIO,61,48,78.69,36.49,0.60,1430852.98
COROMANDEL,59,44,74.58,3.10,0.05,1027908.96
CPPLUS,60,42,70.00,19.81,0.33,1204494.68
CRAFTSMAN,64,45,70.31,-1.08,-0.02,981905.29
CREDITACC,60,46,76.67,-3.99,-0.07,957457.14
CRISIL,58,42,72.41,4.87,0.08,1047068.03
CROMPTON,56,36,64.29,-11.70,-0.21,883815.14
CUB,64,41,64.06,-10.97,-0.17,888970.84
CUMMINSIND,55,40,72.73,16.94,0.31,1179214.83
CYIENT,56,36,64.29,-3.14,-0.06,965721.04
DABUR,58,41,70.69,4.12,0.07,1039951.02
DALBHARAT,56,44,78.57,17.00,0.30,1180769.19
