symbol,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent,capital
360ONE,21,17,80.95,5.10,0.24,1059707.20
3MINDIA,16,12,75.00,-2.59,-0.16,963366.58
AADHARHFC,21,17,80.95,2.91,0.14,1068960.56
AARTIIND,19,16,84.21,8.86,0.47,1056530.52
AAVAS,18,12,66.67,2.30,0.13,1027190.53
ABB,18,13,72.22,1.22,0.07,1010485.29
ABBOTINDIA,19,14,73.68,1.66,0.09,1005039.81
ABCAPITAL,19,12,63.16,-4.58,-0.24,963830.14
ABDL,19,14,73.68,2.42,0.13,1026073.43
ABFRL,16,11,68.75,-0.98,-0.06,994109.22
ABLBL,19,14,73.68,1.15,0.06,1011106.23
ABREL,17,14,82.35,7.36,0.43,1028162.71
ABSLAMC,18,14,77.78,4.54,0.25,1029112.29
ACC,18,11,61.11,-4.38,-0.24,964787.98
ACE,18,13,72.22,-1.19,-0.07,987716.69
ACMESOLAR,20,15,75.00,4.66,0.23,1079309.89
ACUTAAS,19,18,94.74,16.35,0.86,1244157.98
ADANIENSOL,16,13,81.25,4.96,0.31,1033160.20
ADANIENT,17,13,76.47,4.36,0.26,1020799.46
ADANIGREEN,18,12,66.67,2.89,0.16,1015091.18
ADANIPORTS,19,14,73.68,3.94,0.21,1036306.25
ADANIPOWER,15,10,66.67,1.39,0.09,1014523.24
AEGISLOG,18,13,72.22,-11.33,-0.63,897717.46
AEGISVOPAK,18,16,88.89,11.19,0.62,1150033.36
AFCONS,19,17,89.47,11.27,0.59,1131361.82
AFFLE,20,16,80.00,4.60,0.23,1052924.50
AIAENG,19,16,84.21,4.08,0.21,1071129.02
AIIL,21,17,80.95,-1.83,-0.09,985298.23
AJANTPHARM,19,13,68.42,3.74,0.20,1061175.13
ALKEM,16,14,87.50,7.55,0.47,1137248.53
AMBER,21,15,71.43,1.98,0.09,1008302.17
AMBUJACEM,17,10,58.82,-4.66,-0.27,949904.45
ANANDRATHI,20,14,70.00,1.07,0.05,1012018.14
ANANTRAJ,20,17,85.00,9.07,0.45,1063386.20
ANGELONE,18,11,61.11,3.46,0.19,1017949.77
ANTHEM,19,14,73.68,6.77,0.36,1094273.99
ANURAS,19,17,89.47,4.61,0.24,1170643.57
APARINDS,20,14,70.00,-5.66,-0.28,938040.05
APLAPOLLO,19,14,73.68,10.83,0.57,1169395.64
APOLLOHOSP,20,17,85.00,10.17,0.51,1139747.00
APOLLOTYRE,20,13,65.00,5.29,0.26,1055030.09
APTUS,18,13,72.22,4.79,0.27,1057089.97
ASAHIINDIA,17,16,94.12,10.28,0.60,1135119.83
ASHOKLEY,16,9,56.25,-2.16,-0.14,984291.33
ASIANPAINT,17,12,70.59,2.74,0.16,1032238.84
ASTERDM,19,16,84.21,16.46,0.87,1216941.39
ASTRAL,20,17,85.00,1.78,0.09,1019892.02
ATGL,18,8,44.44,-6.31,-0.35,959964.96
ATHERENERG,21,17,80.95,-1.19,-0.06,976100.25
ATUL,18,16,88.89,9.42,0.52,1183449.41
AUBANK,19,14,73.68,6.45,0.34,1074873.11
AUROPHARMA,21,18,85.71,6.18,0.29,1064875.80
AWL,19,14,73.68,-2.76,-0.15,955353.32
