symbol,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent,capital
360ONE,412,293,71.12,28.22,0.07,1271551.38
3MINDIA,412,314,76.21,32.70,0.08,1346461.84
AADHARHFC,412,315,76.46,93.23,0.23,2463396.59
AARTIIND,410,274,66.83,-35.40,-0.09,672791.57
AAVAS,412,293,71.12,31.33,0.08,1293368.47
ABB,412,282,68.45,-9.86,-0.02,875183.05
ABBOTINDIA,412,322,78.16,66.59,0.16,1892136.19
ABCAPITAL,411,275,66.91,-26.04,-0.06,744683.78
ABDL,412,295,71.60,22.77,0.06,1164667.36
ABFRL,408,291,71.32,-24.59,-0.06,749704.14
ABLBL,283,195,68.90,-6.27,-0.02,910383.49
ABREL,412,279,67.72,-87.14,-0.21,390231.83
ABSLAMC,412,309,75.00,49.06,0.12,1545734.47
ACC,412,283,68.69,-27.98,-0.07,740466.70
ACE,412,288,69.90,-17.17,-0.04,797417.83
ACMESOLAR,411,303,73.72,52.60,0.13,1573802.21
ACUTAAS,412,302,73.30,15.23,0.04,1086208.64
ADANIENSOL,412,279,67.72,-32.98,-0.08,684957.70
ADANIENT,412,269,65.29,-30.11,-0.07,714906.27
ADANIGREEN,412,260,63.11,-54.32,-0.13,548864.34
ADANIPORTS,412,276,66.99,-6.97,-0.02,909181.32
ADANIPOWER,409,288,70.42,65.80,0.16,1813747.16
AEGISLOG,412,300,72.82,-21.55,-0.05,751435.47
AEGISVOPAK,310,229,73.87,44.14,0.14,1487005.51
AFCONS,411,273,66.42,20.87,0.05,1178329.39
AFFLE,412,304,73.79,30.88,0.07,1288870.72
AIAENG,412,313,75.97,60.97,0.15,1801366.27
AIIL,412,291,70.63,-28.57,-0.07,675904.30
AJANTPHARM,412,313,75.97,54.08,0.13,1672398.87
ALKEM,412,324,78.64,66.72,0.16,1912823.57
AMBER,412,283,68.69,-69.48,-0.17,468347.95
AMBUJACEM,411,275,66.91,2.83,0.01,1004426.84
ANANDRATHI,411,303,73.72,54.16,0.13,1667604.87
ANANTRAJ,412,274,66.50,-19.61,-0.05,744906.16
ANGELONE,412,266,64.56,-71.43,-0.17,460093.17
ANTHEM,274,204,74.45,43.38,0.16,1514315.59
ANURAS,412,332,80.58,134.40,0.33,3729876.10
APARINDS,412,298,72.33,3.52,0.01,952605.16
APLAPOLLO,412,314,76.21,48.19,0.12,1574567.24
APOLLOHOSP,412,292,70.87,38.56,0.09,1444763.09
APOLLOTYRE,412,296,71.84,11.23,0.03,1088459.84
APTUS,410,288,70.24,18.18,0.04,1158437.23
ASAHIINDIA,411,312,75.91,33.17,0.08,1336404.84
ASHOKLEY,411,270,65.69,-41.77,-0.10,634093.40
ASIANPAINT,411,291,70.80,17.47,0.04,1170022.44
ASTERDM,411,307,74.70,44.25,0.11,1495526.26
ASTRAL,412,300,72.82,25.92,0.06,1251026.32
ATGL,412,284,68.93,-46.92,-0.11,579129.56
ATHERENERG,329,253,76.90,16.48,0.05,1105584.53
ATUL,412,327,79.37,75.15,0.18,2065479.96
AUBANK,412,293,71.12,17.38,0.04,1148839.94
AUROPHARMA,412,295,71.60,4.73,0.01,1017212.29
AWL,411,308,74.94,47.75,0.12,1556246.63
AXISBANK,411,292,71.05,0.64,0.00,990424.39
BAJAJ-AUTO,412,268,65.05,-36.38,-0.09,682303.51
BAJAJFINSV,412,287,69.66,-26.64,-0.06,750969.28
BAJAJHFL,408,255,62.50,19.93,0.05,1193935.17
BAJAJHLDNG,412,308,74.76,4.94,0.01,1012688.15
BAJFINANCE,412,261,63.35,-12.64,-0.03,858123.79
BALKRISIND,412,305,74.03,38.60,0.09,1423765.14
BALRAMCHIN,412,316,76.70,26.23,0.06,1242835.22
BANDHANBNK,411,280,68.13,-54.46,-0.13,555240.52
BANKBARODA,412,267,64.81,-19.70,-0.05,801025.59
BANKINDIA,411,269,65.45,-41.46,-0.10,634385.19
BATAINDIA,410,289,70.49,-35.58,-0.09,681164.97
BAYERCROP,412,307,74.51,36.05,0.09,1400700.19
BBTC,412,288,69.90,-15.58,-0.04,823465.33
