symbol,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent,capital
360ONE,231,160,69.26,13.40,0.06,1135570.14
3MINDIA,220,152,69.09,-5.91,-0.03,890876.50
AADHARHFC,228,174,76.32,56.15,0.25,2050074.95
AARTIIND,230,150,65.22,-16.65,-0.07,857440.66
AAVAS,227,152,66.96,17.92,0.08,1180617.56
ABB,218,137,62.84,-27.11,-0.12,685103.98
ABBOTINDIA,244,32,13.11,-80.47,-0.33,561548.94
ABCAPITAL,225,141,62.67,-19.20,-0.09,823522.66
ABDL,239,163,68.20,-20.64,-0.09,670655.60
ABFRL,224,146,65.18,-23.37,-0.10,838547.27
ABLBL,221,149,67.42,13.13,0.06,1102125.09
ABREL,222,149,67.12,-47.98,-0.22,729339.00
ABSLAMC,244,74,30.33,-12.64,-0.05,874147.31
ACC,204,128,62.75,-25.91,-0.13,758113.43
ACE,221,144,65.16,-11.86,-0.05,875527.43
ACMESOLAR,226,172,76.11,66.72,0.30,1840315.17
ACUTAAS,227,164,72.25,23.19,0.10,1289842.82
ADANIENSOL,225,141,62.67,-35.81,-0.16,661848.43
ADANIENT,224,111,49.55,-14.97,-0.07,907464.85
ADANIGREEN,229,135,58.95,-48.27,-0.21,621138.44
ADANIPORTS,217,141,64.98,4.08,0.02,1026576.13
ADANIPOWER,219,134,61.19,45.22,0.21,1363468.98
AEGISLOG,220,157,71.36,-33.19,-0.15,636909.44
AEGISVOPAK,227,165,72.69,30.99,0.14,1343808.62
AFCONS,221,138,62.44,27.05,0.12,1273704.74
AFFLE,224,155,69.20,1.62,0.01,987579.01
AIAENG,227,159,70.04,33.97,0.15,1500958.38
AIIL,240,91,37.92,-54.81,-0.23,371165.11
AJANTPHARM,225,170,75.56,62.54,0.28,1781954.60
ALKEM,214,165,77.10,49.39,0.23,1728398.18
AMBER,234,155,66.24,-46.08,-0.20,703302.71
AMBUJACEM,216,135,62.50,-6.17,-0.03,918467.94
ANANDRATHI,241,39,16.18,10.36,0.04,1096263.10
ANANTRAJ,233,144,61.80,-30.47,-0.13,700445.20
ANGELONE,236,66,27.97,-21.39,-0.09,839890.46
ANTHEM,213,146,68.54,28.59,0.13,1344153.53
ANURAS,223,168,75.34,72.94,0.33,2934619.14
APARINDS,234,176,75.21,17.14,0.07,1119116.69
APLAPOLLO,217,154,70.97,41.93,0.19,1556808.65
APOLLOHOSP,219,152,69.41,36.78,0.17,1435937.14
APOLLOTYRE,223,149,66.82,3.07,0.01,1015588.54
APTUS,227,147,64.76,-1.00,-0.00,962482.88
ASAHIINDIA,221,164,74.21,41.37,0.19,1455790.85
ASHOKLEY,224,142,63.39,-28.03,-0.13,759389.35
ASIANPAINT,219,141,64.38,8.02,0.04,1080710.73
ASTERDM,214,152,71.03,19.03,0.09,1228076.05
ASTRAL,230,161,70.00,12.34,0.05,1124147.30
ATGL,220,140,63.64,-32.37,-0.15,717872.30
ATHERENERG,237,180,75.95,17.16,0.07,1152864.06
ATUL,217,166,76.50,43.19,0.20,1706513.74
AUBANK,217,144,66.36,20.91,0.10,1210957.29
AUROPHARMA,217,155,71.43,11.62,0.05,1108307.48
AWL,223,163,73.09,24.19,0.11,1303731.26
AXISBANK,221,154,69.68,8.13,0.04,1072471.21
BAJAJ-AUTO,215,132,61.40,-7.11,-0.03,936297.37
BAJAJFINSV,202,130,64.36,-21.43,-0.11,807078.82
BAJAJHFL,200,105,52.50,4.30,0.02,1042323.56
BAJAJHLDNG,224,156,69.64,7.07,0.03,1055755.84
BAJFINANCE,218,121,55.50,-18.35,-0.08,770673.96
BALKRISIND,225,156,69.33,3.62,0.02,1022199.69
BALRAMCHIN,222,168,75.68,27.70,0.12,1278292.14
BANDHANBNK,217,141,64.98,-54.39,-0.25,523027.58
BANKBARODA,244,49,20.08,5.71,0.02,1030897.22
BANKINDIA,237,60,25.32,-13.66,-0.06,874977.97
BATAINDIA,246,29,11.79,-75.34,-0.31,661217.87
BAYERCROP,219,162,73.97,41.66,0.19,1531460.81
BBTC,219,139,63.47,-16.60,-0.08,810123.39
BDL,233,142,60.94,-55.32,-0.24,627253.85
BEL,218,140,64.22,6.97,0.03,1048773.69
BELRISE,223,146,65.47,2.90,0.01,1008789.09
BEML,236,124,52.54,-13.79,-0.06,867995.02
BERGEPAINT,217,154,70.97,46.05,0.21,1728547.22
BHARATFORG,232,162,69.83,40.10,0.17,1648852.35
BHARTIARTL,218,146,66.97,42.14,0.19,1593840.62
BHARTIHEXA,228,165,72.37,17.45,0.08,1313109.30
BHEL,227,142,62.56,-16.33,-0.07,841711.23
BIKAJI,219,161,73.52,38.36,0.18,1638823.24
BIOCON,217,150,69.12,5.38,0.02,1036551.42
BLS,222,137,61.71,-28.57,-0.13,712781.32
BLUEDART,214,134,62.62,-11.91,-0.06,865013.41
BLUEJET,231,149,64.50,-2.58,-0.01,915714.51
BLUESTARCO,224,153,68.30,11.90,0.05,1134676.25
BOSCHLTD,220,143,65.00,-42.23,-0.19,609620.08
BPCL,240,75,31.25,-6.28,-0.03,930163.27
BRIGADE,247,36,14.57,-73.88,-0.30,731003.29
BRITANNIA,212,148,69.81,30.04,0.14,1393964.53
BSE,226,133,58.85,-27.76,-0.12,811583.54
BSOFT,219,135,61.64,-51.35,-0.23,610715.90
CAMS,233,89,38.20,-41.90,-0.18,809882.73
CANBK,243,48,19.75,15.61,0.06,1107189.19
CANFINHOME,226,155,68.58,30.91,0.14,1420919.03
CANHLIFE,202,158,78.22,87.88,0.44,2356271.32
CAPLIPOINT,220,163,74.09,35.81,0.16,1360359.14
CARBORUNIV,224,151,67.41,12.05,0.05,1134826.18
CARTRADE,228,162,71.05,-39.52,-0.17,718180.93
CASTROLIND,243,10,4.12,-31.40,-0.13,802960.91
CCL,222,171,77.03,36.14,0.16,1720138.66
CDSL,226,129,57.08,-41.02,-0.18,715059.63
CEATLTD,235,143,60.85,-38.74,-0.16,545349.24
CEMPRO,230,148,64.35,-28.82,-0.13,692786.79
CENTRALBK,222,133,59.91,-14.98,-0.07,880097.69
CESC,247,20,8.10,-29.81,-0.12,823379.67
CGCL,230,169,73.48,41.46,0.18,1555399.53
CGPOWER,230,155,67.39,9.22,0.04,1076694.30
CHALET,228,156,68.42,2.93,0.01,1016775.49
CHAMBLFERT,218,142,65.14,0.86,0.00,994639.05
CHENNPETRO,246,54,21.95,30.00,0.12,1261810.03
CHOICEIN,223,134,60.09,-63.81,-0.29,583361.45
CHOLAFIN,224,138,61.61,-14.58,-0.07,842457.57
CHOLAHLDNG,224,152,67.86,-19.83,-0.09,745780.74
CIEINDIA,220,152,69.09,5.13,0.02,1046456.49
CIPLA,208,144,69.23,8.45,0.04,1077857.85
CLEAN,216,142,65.74,-14.05,-0.07,778032.80
COALINDIA,216,114,52.78,-12.95,-0.06,874221.14
COCHINSHIP,219,119,54.34,-50.21,-0.23,694791.05
COFORGE,234,137,58.55,-25.67,-0.11,827924.02
COHANCE,221,146,66.06,-62.52,-0.28,203048.34
COLPAL,208,140,67.31,-8.17,-0.04,922794.35
CONCOR,222,136,61.26,-13.85,-0.06,889322.34
CONCORDBIO,228,165,72.37,69.16,0.30,1764941.32
COROMANDEL,227,160,70.48,16.19,0.07,1164723.58
CPPLUS,231,154,66.67,22.92,0.10,1208180.80
CRAFTSMAN,228,162,71.05,33.99,0.15,1430757.58
CREDITACC,234,157,67.09,-52.30,-0.22,658833.05
CRISIL,221,159,71.95,20.94,0.09,1196754.79
CROMPTON,226,142,62.83,-22.65,-0.10,685247.34
CUB,247,33,13.36,-23.08,-0.09,740300.72
CUMMINSIND,219,153,69.86,38.85,0.18,1510433.83
CYIENT,218,145,66.51,-14.92,-0.07,863862.69
DABUR,215,143,66.51,5.77,0.03,1047838.67
DALBHARAT,220,161,73.18,19.67,0.09,1256956.81
DATAPATTNS,235,161,68.51,-20.97,-0.09,827984.49
DCMSHRIRAM,230,162,70.43,45.83,0.20,1908714.89
DEEPAKFERT,230,143,62.17,-48.02,-0.21,596027.28
DEEPAKNTR,219,149,68.04,-6.94,-0.03,892921.83
DELHIVERY,226,147,65.04,-10.68,-0.05,890581.09
DEVYANI,226,156,69.03,-12.50,-0.06,835291.17
DIVISLAB,214,141,65.89,16.07,0.08,1181280.79
DIXON,233,141,60.52,-21.89,-0.09,787898.35
DLF,231,142,61.47,-24.99,-0.11,775581.54
DMART,206,140,67.96,2.73,0.01,1015695.56
DOMS,221,153,69.23,27.17,0.12,1311771.61
DRREDDY,216,149,68.98,28.20,0.13,1379591.29
ECLERX,243,71,29.22,-89.07,-0.37,108632.99
EICHERMOT,220,129,58.64,-20.12,-0.09,831602.92
EIDPARRY,221,162,73.30,27.54,0.12,1260652.48
EIHOTEL,222,151,68.02,-0.23,-0.00,971408.53
ELECON,228,139,60.96,-49.16,-0.22,666658.42
ELGIEQUIP,222,155,69.82,16.71,0.08,1193212.11
EMAMILTD,219,158,72.15,15.32,0.07,1204460.35
EMCURE,224,167,74.55,59.98,0.27,2205487.51
EMMVEE,184,111,60.33,-27.23,-0.15,724834.76
ENDURANCE,226,165,73.01,16.79,0.07,1227809.75
