bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,mTIMESTAMP,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,Usha Martin Limited,31-Jul-2025,1,-,INE228A01035,31-Jul-2025,-,-,31-Jul-2025,EQ,Dividend - Rs 3 Per Share,USHAMART
-,-,,Usha Martin Limited,13-Aug-2026,1,-,INE228A01035,13-Aug-2026,-,-,13-Aug-2026,EQ,Dividend - Rs 3.75 Per Share,USHAMART
