bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,mTIMESTAMP,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,Bikaji Foods International Limited,29-Aug-2025,1,-,INE00E101023,29-Aug-2025,-,-,29-Aug-2025,EQ,Dividend - Re 1 Per Share,BIKAJI
-,-,,Bikaji Foods International Limited,17-Jul-2026,1,-,INE00E101023,17-Jul-2026,-,-,17-Jul-2026,EQ,Dividend - Rs 1.25 Per Share,BIKAJI
