bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,mTIMESTAMP,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,KEC International Limited,25-Jul-2025,2,-,INE389H01014,25-Jul-2025,-,-,25-Jul-2025,EQ,Dividend - Rs 5.50 Per Share,KEC
-,-,,KEC International Limited,07-Aug-2026,2,-,INE389H01014,07-Aug-2026,-,-,07-Aug-2026,EQ,Dividend - Rs 5.50 Per Share,KEC
