bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,mTIMESTAMP,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,Blue Dart Express Limited,06-Aug-2025,10,-,INE233B01017,06-Aug-2025,-,-,06-Aug-2025,EQ,Dividend - Rs 25 Per Sh,BLUEDART
-,-,,Blue Dart Express Limited,15-Sep-2026,10,-,INE233B01017,15-Sep-2026,-,-,15-Sep-2026,EQ,Dividend - Rs 25 Per Share,BLUEDART
