bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,mTIMESTAMP,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,HDFC Life Insurance Company Limited,20-Jun-2025,10,-,INE795G01014,20-Jun-2025,-,-,20-Jun-2025,EQ,Dividend - Rs 2.10 Per Share,HDFCLIFE
-,-,,HDFC Life Insurance Company Limited,19-Jun-2026,10,-,INE795G01014,19-Jun-2026,-,-,19-Jun-2026,EQ,Dividend - Rs 2.10 Per Share,HDFCLIFE
