bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,mTIMESTAMP,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,United Breweries Limited,31-Jul-2025,1,-,INE686F01025,31-Jul-2025,-,-,31-Jul-2025,EQ,Dividend - Rs 10 Per Share,UBL
-,-,,United Breweries Limited,07-Aug-2026,1,-,INE686F01025,07-Aug-2026,-,-,07-Aug-2026,EQ,Dividend - Rs 10 Per Share,UBL
