bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,mTIMESTAMP,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,APL Apollo Tubes Limited,22-Aug-2025,2,-,INE702C01019,22-Aug-2025,-,-,22-Aug-2025,EQ,Dividend - Rs 5.75 Per Share,APLAPOLLO
-,-,,APL Apollo Tubes Limited,08-Sep-2026,2,-,INE702C01019,08-Sep-2026,-,-,08-Sep-2026,EQ,Dividend - Rs 8.50 Per Share,APLAPOLLO
