bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,mTIMESTAMP,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,Trident Limited,27-May-2025,1,-,INE064C01014,27-May-2025,-,-,27-May-2025,EQ,Interim Dividend - Re 0.50 Per Share,TRIDENT
-,-,,Trident Limited,22-May-2026,1,-,INE064C01014,22-May-2026,-,-,23-May-2026,EQ,Interim Dividend - Rs  0.50 Per Share,TRIDENT
