bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,mTIMESTAMP,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,NLC India Limited,07-Feb-2025,10,-,INE589A01014,07-Feb-2025,-,-,07-Feb-2025,EQ,Interim Dividend - Rs 1.50 Per Share,NLCINDIA
-,-,,NLC India Limited,19-Sep-2025,10,-,INE589A01014,19-Sep-2025,-,-,19-Sep-2025,EQ,Dividend - Rs 1.50 Per Share,NLCINDIA
-,-,,NLC India Limited,20-Jan-2026,10,-,INE589A01014,20-Jan-2026,-,-,20-Jan-2026,EQ,Interim Dividend - Rs 3.60 Per Share,NLCINDIA
