bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,mTIMESTAMP,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,Bosch Limited,29-Jul-2025,10,-,INE323A01026,29-Jul-2025,-,-,29-Jul-2025,EQ,Dividend - Rs 512 Per Share,BOSCHLTD
-,-,,Bosch Limited,04-Aug-2026,10,-,INE323A01026,04-Aug-2026,-,-,04-Aug-2026,EQ,Dividend - Rs 270 Per Share,BOSCHLTD
