bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,mTIMESTAMP,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,Hitachi Energy India Limited,13-Aug-2025,2,-,INE07Y701011,13-Aug-2025,-,-,13-Aug-2025,EQ,Dividend - Rs 6 Per Share,POWERINDIA
-,-,,Hitachi Energy India Limited,21-Aug-2026,2,-,INE07Y701011,21-Aug-2026,-,-,21-Aug-2026,EQ,Dividend - Rs 8 Per Share,POWERINDIA
