symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
BIKAJI,732.85,737.85,729.65,736.90,731.63,SHORT,732.85,731.63,731.63,true,1.22,0.17
DEVYANI,168.01,169.26,165.91,167.10,166.59,SHORT,168.01,166.59,166.59,true,1.42,0.85
GLAND,1903.90,1918.70,1890.30,1909.70,1909.77,LONG,1903.90,1909.77,1909.77,true,5.87,0.31
LATENTVIEW,419.55,424.90,417.25,422.75,416.70,SHORT,419.55,416.70,422.75,false,-3.20,-0.76
TORNTPHARM,3603.90,3607.90,3554.50,3605.20,3591.05,SHORT,3603.90,3591.05,3591.05,true,12.85,0.36
APLAPOLLO,1825.00,1825.00,1754.30,1782.30,1804.71,SHORT,1825.00,1804.71,1804.71,true,20.29,1.11
AWL,275.00,276.90,271.60,275.20,272.40,SHORT,275.00,272.40,272.40,true,2.60,0.95
BERGEPAINT,545.05,546.00,539.00,545.40,543.51,SHORT,545.05,543.51,543.51,true,1.54,0.28
LINDEINDIA,6048.00,6080.00,6048.00,6060.00,6078.36,LONG,6048.00,6078.36,6078.36,true,30.36,0.50
LODHA,1187.80,1189.90,1166.60,1171.80,1182.81,SHORT,1187.80,1182.81,1182.81,true,4.99,0.42
