symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
TIMKEN,3012.50,3069.90,3003.90,3031.00,3018.61,LONG,3012.50,3018.61,3018.61,true,6.11,0.20
CAPLIPOINT,1914.60,1970.00,1901.30,1931.10,1903.50,SHORT,1914.60,1903.50,1903.50,true,11.10,0.58
NUVOCO,342.15,344.85,333.35,335.20,341.98,SKIP,,,,,,
DALBHARAT,1965.00,1977.20,1936.50,1947.70,1966.66,SKIP,,,,,,
GODIGIT,340.05,346.00,336.85,345.95,338.43,SHORT,340.05,338.43,338.43,true,1.62,0.48
AADHARHFC,487.00,489.00,482.35,483.00,485.27,SHORT,487.00,485.27,485.27,true,1.73,0.36
DCMSHRIRAM,1224.70,1235.70,1201.60,1205.50,1207.40,SHORT,1224.70,1207.40,1207.40,true,17.30,1.41
AMBUJACEM,533.05,536.50,529.35,529.50,529.44,SHORT,533.05,529.44,529.44,true,3.61,0.68
CEATLTD,3816.10,3874.60,3790.00,3791.90,3785.89,SHORT,3816.10,3785.89,3791.90,false,24.20,0.63
GODREJIND,1024.90,1070.00,1018.30,1032.50,1012.07,SHORT,1024.90,1012.07,1032.50,false,-7.60,-0.74
