symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
APTUS,302.05,303.65,295.40,296.00,301.58,SHORT,302.05,301.58,301.58,true,0.47,0.16
SAPPHIRE,306.90,313.10,298.65,299.65,306.85,SKIP,,,,,,
CHOLAHLDNG,1646.10,1658.70,1605.00,1629.10,1657.17,LONG,1646.10,1657.17,1657.17,true,11.07,0.67
DCMSHRIRAM,1029.45,1071.00,1017.05,1061.50,1021.58,SHORT,1029.45,1021.58,1021.58,true,7.87,0.76
SBFC,85.00,85.81,83.51,83.65,83.17,SHORT,85.00,83.17,83.65,false,1.35,1.59
FLUOROCHEM,3885.00,4011.25,3786.15,4003.50,3823.70,SHORT,3885.00,3823.70,3823.70,true,61.30,1.58
KAJARIACER,909.65,915.00,882.35,891.00,900.22,SHORT,909.65,900.22,900.22,true,9.43,1.04
SHREECEM,28744.00,28799.90,28177.65,28611.40,28280.93,SHORT,28744.00,28280.93,28280.93,true,463.07,1.61
SIGNATURE,1100.00,1121.25,1090.10,1117.85,1094.85,SHORT,1100.00,1094.85,1094.85,true,5.15,0.47
CCL,556.05,570.50,553.00,566.50,556.29,SKIP,,,,,,
