symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
LUPIN,1980.10,2028.00,1980.10,1992.40,1980.26,SKIP,,,,,,
INDIAMART,2444.10,2458.60,2422.20,2455.60,2441.93,SKIP,,,,,,
LLOYDSME,1321.00,1327.80,1312.10,1315.00,1308.74,SHORT,1321.00,1308.74,1315.00,false,6.00,0.45
APTUS,292.20,292.45,287.70,288.00,291.21,SHORT,292.20,291.21,291.21,true,0.99,0.34
MANAPPURAM,271.60,279.55,269.55,277.80,271.21,SHORT,271.60,271.21,271.21,true,0.39,0.14
BHARATFORG,1318.30,1336.00,1306.80,1327.70,1312.03,SHORT,1318.30,1312.03,1312.03,true,6.27,0.48
CRISIL,4725.40,4778.30,4699.30,4713.90,4753.32,LONG,4725.40,4753.32,4753.32,true,27.92,0.59
LODHA,1226.10,1232.50,1203.10,1208.40,1216.09,SHORT,1226.10,1216.09,1216.09,true,10.01,0.82
TORNTPHARM,3660.00,3835.10,3602.00,3816.20,3571.62,SHORT,3660.00,3571.62,3816.20,false,-156.20,-4.27
GPIL,275.50,277.90,270.25,272.15,272.52,SHORT,275.50,272.52,272.52,true,2.98,1.08
