symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
RAINBOW,1105.00,1113.40,1084.00,1109.40,1114.34,LONG,1105.00,1114.34,1109.40,false,4.40,0.40
SUNDARMFIN,4615.00,4646.00,4505.00,4529.50,4685.72,LONG,4615.00,4685.72,4529.50,false,-85.50,-1.85
ONESOURCE,1415.50,1427.90,1356.60,1376.50,1468.57,LONG,1415.50,1468.57,1376.50,false,-39.00,-2.76
DATAPATTNS,3206.30,3241.90,3012.60,3078.00,3285.00,LONG,3206.30,3285.00,3078.00,false,-128.30,-4.00
KPRMILL,817.95,833.00,804.00,822.75,830.50,LONG,817.95,830.50,830.50,true,12.55,1.53
LTTS,3219.90,3219.90,3050.00,3078.40,3273.12,LONG,3219.90,3273.12,3078.40,false,-141.50,-4.39
THELEELA,390.00,397.35,385.10,393.75,401.81,LONG,390.00,401.81,393.75,false,3.75,0.96
JUBLPHARMA,815.00,831.30,804.15,814.05,839.62,LONG,815.00,839.62,814.05,false,-0.95,-0.12
AAVAS,1091.00,1091.90,1060.40,1075.00,1100.62,LONG,1091.00,1100.62,1075.00,false,-16.00,-1.47
ONGC,267.30,269.70,263.90,264.75,267.88,LONG,267.30,267.88,267.88,true,0.58,0.22
