symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
SPLPETRO,720.90,739.40,716.90,735.40,721.07,SKIP,,,,,,
SUNDARMFIN,5000.50,5093.50,4968.50,5067.00,5017.51,LONG,5000.50,5017.51,5017.51,true,17.01,0.34
IEX,200.19,204.35,198.57,202.44,198.75,SHORT,200.19,198.75,198.75,true,1.44,0.72
ABCAPITAL,225.11,233.91,223.22,233.88,224.61,SHORT,225.11,224.61,224.61,true,0.50,0.22
PIIND,3904.40,3939.00,3853.10,3895.20,3918.29,LONG,3904.40,3918.29,3918.29,true,13.89,0.36
SUNTV,620.00,622.65,610.60,615.15,623.73,LONG,620.00,623.73,615.15,false,-4.85,-0.78
DCMSHRIRAM,1053.00,1087.90,1047.20,1065.60,1057.95,LONG,1053.00,1057.95,1057.95,true,4.95,0.47
SYRMA,541.60,543.20,534.50,534.50,539.78,SHORT,541.60,539.78,539.78,true,1.82,0.34
ZYDUSLIFE,960.00,962.50,948.85,959.35,951.89,SHORT,960.00,951.89,951.89,true,8.11,0.84
IIFL,434.05,453.35,428.55,450.90,427.59,SHORT,434.05,427.59,450.90,false,-16.85,-3.88
