symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
IKS,1800.00,1813.20,1769.80,1777.00,1786.23,SHORT,1800.00,1786.23,1786.23,true,13.77,0.76
SOBHA,1255.00,1262.40,1242.00,1255.50,1251.47,SHORT,1255.00,1251.47,1251.47,true,3.53,0.28
ZFCVINDIA,2491.70,2537.90,2472.20,2517.00,2498.38,LONG,2491.70,2498.38,2498.38,true,6.68,0.27
ACUTAAS,3181.60,3235.50,3161.50,3181.00,3187.85,LONG,3181.60,3187.85,3187.85,true,6.25,0.20
CCL,1097.00,1137.00,1086.50,1125.30,1095.14,SHORT,1097.00,1095.14,1095.14,true,1.86,0.17
ETERNAL,320.80,324.30,320.50,321.80,322.13,LONG,320.80,322.13,322.13,true,1.33,0.41
GODIGIT,255.05,261.45,254.50,259.55,256.35,LONG,255.05,256.35,256.35,true,1.30,0.51
TBOTEK,1690.00,1702.50,1669.60,1694.40,1704.96,LONG,1690.00,1704.96,1694.40,false,4.40,0.26
BAYERCROP,3980.00,3997.80,3972.50,3984.90,3979.12,SKIP,,,,,,
INDGN,597.00,603.60,579.20,590.95,597.31,SKIP,,,,,,
