symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
FINCABLES,889.70,897.15,876.35,878.25,887.79,SHORT,889.70,887.79,887.79,true,1.91,0.21
MAPMYINDIA,1790.00,1813.50,1762.00,1768.70,1807.26,LONG,1790.00,1807.26,1807.26,true,17.26,0.96
JKCEMENT,6620.00,6778.00,6600.00,6715.00,6650.88,LONG,6620.00,6650.88,6650.88,true,30.88,0.47
FIRSTCRY,343.35,360.45,340.80,346.95,345.92,LONG,343.35,345.92,345.92,true,2.57,0.75
NTPC,333.00,334.75,330.20,330.35,336.96,LONG,333.00,336.96,330.35,false,-2.65,-0.80
RAMCOCEM,1184.80,1185.00,1147.00,1152.30,1190.20,LONG,1184.80,1190.20,1152.30,false,-32.50,-2.74
ANURAS,1142.00,1147.00,1125.00,1127.20,1140.94,SKIP,,,,,,
IGL,205.04,211.41,200.75,201.30,205.64,LONG,205.04,205.64,205.64,true,0.60,0.29
GLAND,2060.00,2062.00,1976.10,1979.80,2063.21,LONG,2060.00,2063.21,1979.80,false,-80.20,-3.89
NEULANDLAB,12761.00,13473.00,12251.00,13000.00,13626.04,LONG,12761.00,13626.04,13000.00,false,239.00,1.87
