symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
CGPOWER,676.50,679.00,672.00,675.00,676.23,SKIP,,,,,,
WELCORP,908.00,915.00,900.05,907.80,908.83,SKIP,,,,,,
ERIS,1745.60,1795.00,1744.90,1771.20,1752.79,LONG,1745.60,1752.79,1752.79,true,7.19,0.41
NIVABUPA,89.35,90.47,88.68,89.64,89.86,LONG,89.35,89.86,89.86,true,0.51,0.57
LTTS,4365.00,4425.20,4338.00,4343.70,4352.20,SHORT,4365.00,4352.20,4352.20,true,12.80,0.29
PAYTM,983.10,1014.30,983.10,1005.30,988.05,LONG,983.10,988.05,988.05,true,4.95,0.50
SRF,3216.40,3250.00,3196.10,3202.30,3205.63,SHORT,3216.40,3205.63,3205.63,true,10.77,0.33
HAVELLS,1537.10,1539.40,1520.10,1526.50,1533.79,SHORT,1537.10,1533.79,1533.79,true,3.31,0.22
ICICIGI,2030.00,2052.00,1965.30,1972.70,2012.71,SHORT,2030.00,2012.71,2012.71,true,17.29,0.85
SOBHA,1647.60,1659.00,1630.10,1651.00,1620.65,SHORT,1647.60,1620.65,1651.00,false,-3.40,-0.21
