symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
CRISIL,4231.40,4318.00,4201.40,4289.00,4215.96,SHORT,4231.40,4215.96,4215.96,true,15.44,0.36
LINDEINDIA,6125.00,6274.00,6125.00,6168.90,6202.50,LONG,6125.00,6202.50,6202.50,true,77.50,1.27
SBFC,92.69,95.19,92.16,92.77,92.65,SKIP,,,,,,
SAPPHIRE,293.15,305.20,293.15,304.15,298.66,LONG,293.15,298.66,298.66,true,5.51,1.88
APTUS,298.00,302.20,298.00,302.20,298.53,LONG,298.00,298.53,298.53,true,0.53,0.18
CONCORDBIO,1696.60,1745.65,1696.20,1719.95,1683.27,SHORT,1696.60,1683.27,1719.95,false,-23.35,-1.38
SUNDARMFIN,4450.00,4535.00,4449.00,4502.95,4468.61,LONG,4450.00,4468.61,4468.61,true,18.61,0.42
JUBLPHARMA,910.15,995.00,910.15,979.00,912.06,LONG,910.15,912.06,912.06,true,1.91,0.21
PAYTM,810.00,839.35,802.65,838.70,812.41,LONG,810.00,812.41,812.41,true,2.41,0.30
INDGN,565.00,581.55,565.00,573.35,574.27,LONG,565.00,574.27,574.27,true,9.27,1.64
