symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
FINCABLES,890.25,897.70,882.00,883.05,897.32,LONG,890.25,897.32,897.32,true,7.07,0.79
MAPMYINDIA,1798.00,1830.60,1783.60,1800.00,1817.72,LONG,1798.00,1817.72,1817.72,true,19.72,1.10
JKCEMENT,6560.00,6680.00,6518.00,6660.50,6596.57,LONG,6560.00,6596.57,6596.57,true,36.57,0.56
FIRSTCRY,345.00,349.70,341.00,342.65,349.65,LONG,345.00,349.65,349.65,true,4.65,1.35
NTPC,336.05,340.10,333.40,333.80,338.86,LONG,336.05,338.86,338.86,true,2.81,0.84
RAMCOCEM,1192.00,1209.00,1171.10,1175.90,1192.64,SKIP,,,,,,
ANURAS,1148.90,1151.00,1128.10,1131.70,1149.06,SKIP,,,,,,
IGL,199.98,208.79,199.20,204.95,203.85,LONG,199.98,203.85,203.85,true,3.87,1.94
ONESOURCE,1969.80,1980.70,1938.20,1974.90,1985.94,LONG,1969.80,1985.94,1974.90,false,5.10,0.26
PAYTM,1055.95,1089.80,1046.25,1076.85,1069.30,LONG,1055.95,1069.30,1069.30,true,13.35,1.26
