symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
EMCURE,1249.90,1259.40,1228.90,1243.00,1252.75,LONG,1249.90,1252.75,1252.75,true,2.85,0.23
CGPOWER,676.60,682.00,668.00,680.00,674.54,SHORT,676.60,674.54,674.54,true,2.06,0.30
ELECON,648.20,656.50,638.85,647.35,645.66,SHORT,648.20,645.66,645.66,true,2.54,0.39
NIVABUPA,85.00,85.90,83.30,83.90,84.45,SHORT,85.00,84.45,84.45,true,0.55,0.65
AIAENG,3316.10,3376.40,3284.30,3366.80,3306.44,SHORT,3316.10,3306.44,3306.44,true,9.66,0.29
ACMESOLAR,249.85,264.80,249.13,253.87,249.42,SHORT,249.85,249.42,249.42,true,0.43,0.17
HSCL,500.00,504.50,490.00,491.20,499.45,SHORT,500.00,499.45,499.45,true,0.55,0.11
RHIM,478.90,483.70,462.10,469.15,480.87,LONG,478.90,480.87,480.87,true,1.97,0.41
GRANULES,495.05,496.70,490.25,493.00,493.94,SHORT,495.05,493.94,493.94,true,1.11,0.22
JUBLPHARMA,1199.00,1235.00,1186.30,1199.80,1195.06,SHORT,1199.00,1195.06,1195.06,true,3.94,0.33
