symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
TRAVELFOOD,1299.90,1320.60,1276.00,1280.20,1308.31,LONG,1299.90,1308.31,1308.31,true,8.41,0.65
GODIGIT,319.70,324.00,319.20,320.00,323.63,LONG,319.70,323.63,323.63,true,3.93,1.23
IKS,1426.90,1445.50,1416.00,1432.30,1424.20,SHORT,1426.90,1424.20,1424.20,true,2.70,0.19
NTPCGREEN,113.10,115.20,112.90,113.51,113.10,SKIP,,,,,,
PIRAMALFIN,1814.60,1879.00,1814.60,1850.40,1804.76,SHORT,1814.60,1804.76,1850.40,false,-35.80,-1.97
IPCALAB,1494.60,1541.10,1486.30,1526.30,1496.87,LONG,1494.60,1496.87,1496.87,true,2.27,0.15
EIDPARRY,877.55,913.90,863.70,870.20,864.36,SHORT,877.55,864.36,864.36,true,13.19,1.50
LALPATHLAB,1450.00,1469.00,1423.00,1429.80,1456.99,LONG,1450.00,1456.99,1456.99,true,6.99,0.48
INDIAMART,2168.40,2190.00,2148.40,2159.40,2165.38,SHORT,2168.40,2165.38,2165.38,true,3.02,0.14
MARICO,774.95,780.10,765.65,778.10,770.51,SHORT,774.95,770.51,770.51,true,4.44,0.57
