symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
INDGN,581.80,584.85,568.30,571.90,576.61,SHORT,581.80,576.61,576.61,true,5.19,0.89
AUROPHARMA,1688.00,1688.00,1642.10,1645.00,1672.65,SHORT,1688.00,1672.65,1672.65,true,15.35,0.91
ACUTAAS,3384.00,3447.60,3245.20,3261.10,3416.19,LONG,3384.00,3416.19,3416.19,true,32.19,0.95
CAPLIPOINT,2750.20,2760.00,2555.10,2564.50,2743.91,SHORT,2750.20,2743.91,2743.91,true,6.29,0.23
ETERNAL,327.50,327.95,314.65,316.60,320.81,SHORT,327.50,320.81,320.81,true,6.69,2.04
LALPATHLAB,1907.00,1921.00,1885.50,1905.70,1911.21,LONG,1907.00,1911.21,1911.21,true,4.21,0.22
GODIGIT,257.40,257.40,251.00,251.25,253.20,SHORT,257.40,253.20,253.20,true,4.20,1.63
MEESHO,219.44,220.90,210.61,212.10,219.35,SKIP,,,,,,
SOBHA,1226.60,1240.90,1190.00,1190.30,1215.50,SHORT,1226.60,1215.50,1215.50,true,11.10,0.90
TBOTEK,1680.80,1680.80,1646.20,1655.70,1667.14,SHORT,1680.80,1667.14,1667.14,true,13.66,0.81
