symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
SYNGENE,453.10,457.95,447.15,447.50,452.65,SKIP,,,,,,
ASTERDM,778.90,783.20,761.60,766.50,778.33,SKIP,,,,,,
CCL,1121.10,1128.30,1104.10,1109.60,1131.19,LONG,1121.10,1131.19,1109.60,false,-11.50,-1.03
RELIANCE,1333.00,1334.00,1317.00,1332.40,1326.71,SHORT,1333.00,1326.71,1326.71,true,6.29,0.47
AJANTPHARM,3109.60,3113.40,3045.00,3083.60,3059.56,SHORT,3109.60,3059.56,3059.56,true,50.04,1.61
ERIS,1384.00,1415.00,1377.10,1410.90,1378.45,SHORT,1384.00,1378.45,1378.45,true,5.55,0.40
JSWDULUX,3215.60,3310.70,3210.00,3232.60,3232.39,LONG,3215.60,3232.39,3232.39,true,16.79,0.52
LAURUSLABS,1376.00,1389.00,1357.10,1369.60,1372.15,SHORT,1376.00,1372.15,1372.15,true,3.85,0.28
CIPLA,1380.00,1381.70,1341.10,1351.30,1379.04,SKIP,,,,,,
HEXT,502.20,515.90,502.10,503.15,499.57,SHORT,502.20,499.57,503.15,false,-0.95,-0.19
