symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
SPLPETRO,711.00,714.05,703.35,704.45,713.43,LONG,711.00,713.43,713.43,true,2.43,0.34
SCHAEFFLER,4047.10,4139.00,4035.10,4115.20,4030.06,SHORT,4047.10,4030.06,4115.20,false,-68.10,-1.68
FORTIS,714.20,719.25,707.00,718.75,713.64,SKIP,,,,,,
SYRMA,541.15,546.85,535.65,538.50,538.42,SHORT,541.15,538.42,538.42,true,2.73,0.50
VTL,504.80,504.80,495.45,498.55,497.07,SHORT,504.80,497.07,497.07,true,7.73,1.53
IEX,197.81,200.50,197.21,199.79,199.13,LONG,197.81,199.13,199.13,true,1.32,0.67
LT,3663.90,3668.90,3618.00,3652.80,3642.32,SHORT,3663.90,3642.32,3642.32,true,21.58,0.59
ENDURANCE,2441.50,2465.00,2408.30,2434.50,2418.91,SHORT,2441.50,2418.91,2418.91,true,22.59,0.93
GRANULES,524.00,536.45,524.00,534.90,526.68,LONG,524.00,526.68,526.68,true,2.68,0.51
HINDALCO,649.95,653.55,645.10,650.25,652.53,LONG,649.95,652.53,652.53,true,2.58,0.40
