symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
MRPL,175.00,186.23,170.90,180.08,180.70,LONG,175.00,180.70,180.70,true,5.70,3.26
PIRAMALFIN,1850.00,1863.30,1780.60,1829.00,1841.52,SHORT,1850.00,1841.52,1841.52,true,8.48,0.46
CPPLUS,1835.00,1840.00,1755.50,1799.00,1846.09,LONG,1835.00,1846.09,1799.00,false,-36.00,-1.96
OIL,478.00,492.50,473.05,473.75,476.83,SHORT,478.00,476.83,476.83,true,1.17,0.24
ONESOURCE,1403.00,1487.90,1384.10,1470.00,1411.93,LONG,1403.00,1411.93,1411.93,true,8.93,0.64
PERSISTENT,4855.00,4929.50,4825.00,4891.00,4928.08,LONG,4855.00,4928.08,4928.08,true,73.08,1.51
SBFC,81.60,82.09,79.60,81.04,82.81,LONG,81.60,82.81,81.04,false,-0.56,-0.69
SUNDARMFIN,4500.00,4525.00,4318.00,4382.50,4605.74,LONG,4500.00,4605.74,4382.50,false,-117.50,-2.61
TORNTPHARM,4222.90,4254.80,4188.20,4222.70,4270.36,LONG,4222.90,4270.36,4222.70,false,-0.20,-0.00
LALPATHLAB,1313.00,1326.60,1291.10,1316.80,1321.83,LONG,1313.00,1321.83,1321.83,true,8.83,0.67
