symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
ASAHIINDIA,948.90,956.85,934.10,952.20,960.21,LONG,948.90,960.21,952.20,false,3.30,0.35
FEDERALBNK,342.60,347.65,341.55,347.30,343.92,LONG,342.60,343.92,343.92,true,1.32,0.39
KFINTECH,950.05,953.90,931.00,951.00,951.42,LONG,950.05,951.42,951.42,true,1.37,0.14
UNITDSPR,1510.00,1510.90,1479.70,1484.70,1505.86,SHORT,1510.00,1505.86,1505.86,true,4.14,0.27
ACUTAAS,3281.60,3321.90,3125.90,3141.60,3283.17,SKIP,,,,,,
CANHLIFE,153.00,159.00,149.41,158.40,154.77,LONG,153.00,154.77,154.77,true,1.77,1.16
CCL,1116.20,1125.00,1066.70,1068.10,1116.61,SKIP,,,,,,
IKS,1755.10,1779.30,1715.50,1743.20,1765.48,LONG,1755.10,1765.48,1765.48,true,10.38,0.59
JSWDULUX,3089.20,3185.00,3066.70,3168.90,3117.71,LONG,3089.20,3117.71,3117.71,true,28.51,0.92
FLUOROCHEM,4769.70,4829.90,4675.00,4688.00,4721.26,SHORT,4769.70,4721.26,4721.26,true,48.44,1.02
