symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
SPLPETRO,714.55,729.85,708.00,727.00,711.78,SHORT,714.55,711.78,711.78,true,2.77,0.39
SUNTV,624.10,645.30,616.75,638.00,633.69,LONG,624.10,633.69,633.69,true,9.59,1.54
FORTIS,706.10,735.00,702.00,722.50,709.31,LONG,706.10,709.31,709.31,true,3.21,0.45
IIFL,435.40,435.40,426.05,430.10,434.54,SHORT,435.40,434.54,434.54,true,0.86,0.20
IPCALAB,1428.00,1432.90,1369.00,1429.90,1428.96,SKIP,,,,,,
SYRMA,548.00,576.00,535.30,536.55,537.99,SHORT,548.00,537.99,537.99,true,10.01,1.83
SCHAEFFLER,4188.70,4229.50,4110.10,4129.30,4200.66,LONG,4188.70,4200.66,4200.66,true,11.96,0.29
ABCAPITAL,222.00,225.39,218.44,223.89,221.93,SKIP,,,,,,
ENDURANCE,2431.80,2456.70,2413.00,2419.00,2446.83,LONG,2431.80,2446.83,2446.83,true,15.03,0.62
HAVELLS,1529.70,1533.80,1511.00,1514.40,1533.09,LONG,1529.70,1533.09,1533.09,true,3.39,0.22
