symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
ERIS,1777.50,1808.10,1772.60,1789.70,1778.97,SKIP,,,,,,
CGPOWER,683.10,687.00,653.60,681.25,683.44,SKIP,,,,,,
ITI,315.85,316.85,304.30,307.45,314.01,SHORT,315.85,314.01,314.01,true,1.84,0.58
DLF,842.45,844.35,825.00,828.85,836.94,SHORT,842.45,836.94,836.94,true,5.51,0.65
LTTS,4312.00,4324.60,4290.00,4300.00,4307.02,SHORT,4312.00,4307.02,4307.02,true,4.98,0.12
MFSL,1531.50,1545.50,1520.40,1525.30,1552.21,LONG,1531.50,1552.21,1525.30,false,-6.20,-0.40
WELCORP,923.00,924.00,896.30,897.40,913.76,SHORT,923.00,913.76,913.76,true,9.24,1.00
FINCABLES,922.75,927.20,911.65,920.05,921.07,SHORT,922.75,921.07,921.07,true,1.68,0.18
SJVN,98.78,99.30,97.70,98.72,98.88,LONG,98.78,98.88,98.88,true,0.10,0.10
SRF,3190.00,3260.40,3141.00,3144.20,3163.59,SHORT,3190.00,3163.59,3163.59,true,26.41,0.83
