date,trade_count,capital_start,allocation_per_stock,total_pnl,capital_end
2025-02-01,10,10000000.00,1000000.00,113499.05,10113499.05
2025-02-03,10,10113499.05,1011349.91,62921.26,10176420.31
2025-02-04,8,10176420.31,1272052.54,60431.06,10236851.37
2025-02-05,9,10236851.37,1137427.93,90919.56,10327770.93
2025-02-06,9,10327770.93,1147530.10,91223.29,10418994.22
2025-02-07,8,10418994.22,1302374.28,38529.04,10457523.26
2025-02-10,10,10457523.26,1045752.33,43199.25,10500722.51
2025-02-11,9,10500722.51,1166746.95,46881.75,10547604.26
2025-02-12,10,10547604.26,1054760.43,55461.57,10603065.83
2025-02-13,9,10603065.83,1178118.43,59701.71,10662767.54
2025-02-14,9,10662767.54,1184751.95,77986.05,10740753.59
2025-02-17,8,10740753.59,1342594.20,74463.02,10815216.61
2025-02-18,10,10815216.61,1081521.66,100774.72,10915991.33
2025-02-19,9,10915991.33,1212887.93,52698.86,10968690.19
2025-02-20,10,10968690.19,1096869.02,44198.67,11012888.86
2025-02-21,9,11012888.86,1223654.32,81505.92,11094394.78
2025-02-24,10,11094394.78,1109439.48,-19450.33,11074944.45
2025-02-25,10,11074944.45,1107494.45,55060.45,11130004.90
2025-02-27,10,11130004.90,1113000.49,43820.65,11173825.55
2025-02-28,9,11173825.55,1241536.17,22322.79,11196148.34
2025-03-03,8,11196148.34,1399518.54,123444.18,11319592.52
2025-03-04,10,11319592.52,1131959.25,111520.68,11431113.20
2025-03-05,8,11431113.20,1428889.15,70426.36,11501539.56
2025-03-06,10,11501539.56,1150153.96,33429.57,11534969.13
2025-03-07,9,11534969.13,1281663.24,122819.16,11657788.29
2025-03-10,10,11657788.29,1165778.83,60550.16,11718338.45
2025-03-11,9,11718338.45,1302037.61,87683.18,11806021.63
2025-03-12,10,11806021.63,1180602.16,113600.32,11919621.95
2025-03-13,10,11919621.95,1191962.19,53119.07,11972741.02
2025-03-17,8,11972741.02,1496592.63,125795.25,12098536.27
2025-03-18,10,12098536.27,1209853.63,33323.05,12131859.32
2025-03-19,10,12131859.32,1213185.93,119813.97,12251673.29
2025-03-20,8,12251673.29,1531459.16,120438.04,12372111.33
2025-03-21,9,12372111.33,1374679.04,68422.02,12440533.35
2025-03-24,9,12440533.35,1382281.48,132626.27,12573159.62
2025-03-25,10,12573159.62,1257315.96,77952.20,12651111.82
2025-03-26,10,12651111.82,1265111.18,55778.03,12706889.85
2025-03-27,9,12706889.85,1411876.65,107247.38,12814137.23
2025-03-28,8,12814137.23,1601767.15,53736.31,12867873.54
2025-04-01,10,12867873.54,1286787.35,122128.91,12990002.45
2025-04-02,9,12990002.45,1443333.61,100982.88,13090985.33
2025-04-03,9,13090985.33,1454553.93,70880.48,13161865.81
2025-04-04,10,13161865.81,1316186.58,91537.63,13253403.44
2025-04-07,10,13253403.44,1325340.34,527648.56,13781052.00
2025-04-08,9,13781052.00,1531228.00,209149.23,13990201.23
2025-04-09,10,13990201.23,1399020.12,70136.53,14060337.76
2025-04-11,10,14060337.76,1406033.78,205700.42,14266038.18
2025-04-15,10,14266038.18,1426603.82,43094.75,14309132.93
2025-04-16,9,14309132.93,1589903.66,-36538.53,14272594.40
2025-04-17,8,14272594.40,1784074.30,48551.04,14321145.44
2025-04-21,9,14321145.44,1591238.38,115371.36,14436516.80
2025-04-22,9,14436516.80,1604057.42,72404.71,14508921.51
2025-04-23,8,14508921.51,1813615.19,82349.61,14591271.12
2025-04-24,7,14591271.12,2084467.30,103342.84,14694613.96
2025-04-25,9,14694613.96,1632734.88,108124.25,14802738.21
2025-04-28,9,14802738.21,1644748.69,127436.71,14930174.92
2025-04-29,9,14930174.92,1658908.32,137021.05,15067195.97
2025-04-30,10,15067195.97,1506719.60,71515.47,15138711.44
2025-05-02,9,15138711.44,1682079.05,98048.13,15236759.57
2025-05-05,8,15236759.57,1904594.95,120395.07,15357154.64
2025-05-06,9,15357154.64,1706350.52,108687.68,15465842.32
2025-05-07,9,15465842.32,1718426.92,229695.31,15695537.63
2025-05-08,9,15695537.63,1743948.63,125977.33,15821514.96
2025-05-09,10,15821514.96,1582151.50,439798.31,16261313.27
2025-05-12,10,16261313.27,1626131.33,-58842.64,16202470.63
2025-05-13,10,16202470.63,1620247.06,62529.44,16265000.07
2025-05-14,7,16265000.07,2323571.44,137369.92,16402369.99
2025-05-15,9,16402369.99,1822485.55,103746.08,16506116.07
2025-05-16,9,16506116.07,1834012.90,145285.24,16651401.31
2025-05-19,9,16651401.31,1850155.70,86333.88,16737735.19
2025-05-20,9,16737735.19,1859748.35,177105.13,16914840.32
2025-05-21,9,16914840.32,1879426.70,117912.30,17032752.62
2025-05-22,8,17032752.62,2129094.08,48735.74,17081488.36
2025-05-23,9,17081488.36,1897943.15,81617.87,17163106.23
2025-05-26,9,17163106.23,1907011.80,69777.25,17232883.48
2025-05-27,9,17232883.48,1914764.83,77673.55,17310557.03
2025-05-28,10,17310557.03,1731055.70,143916.57,17454473.60
2025-05-29,9,17454473.60,1939385.96,73387.61,17527861.21
2025-05-30,10,17527861.21,1752786.12,77344.28,17605205.49
2025-06-02,8,17605205.49,2200650.69,121623.06,17726828.55
2025-06-03,8,17726828.55,2215853.57,151262.70,17878091.25
2025-06-04,9,17878091.25,1986454.58,94802.10,17972893.35
2025-06-05,9,17972893.35,1996988.15,76455.91,18049349.26
2025-06-06,9,18049349.26,2005483.25,-27602.61,18021746.65
2025-06-09,7,18021746.65,2574535.24,8410.71,18030157.36
2025-06-10,8,18030157.36,2253769.67,86223.08,18116380.44
2025-06-11,10,18116380.44,1811638.04,94701.03,18211081.47
2025-06-12,9,18211081.47,2023453.50,91652.41,18302733.88
2025-06-13,10,18302733.88,1830273.39,502183.43,18804917.31
2025-06-16,8,18804917.31,2350614.66,130480.89,18935398.20
2025-06-17,9,18935398.20,2103933.13,181083.31,19116481.51
2025-06-18,9,19116481.51,2124053.50,205648.42,19322129.93
2025-06-19,9,19322129.93,2146903.33,28987.92,19351117.85
2025-06-20,9,19351117.85,2150124.21,155199.77,19506317.62
2025-06-23,10,19506317.62,1950631.76,157570.40,19663888.02
2025-06-24,9,19663888.02,2184876.45,193531.32,19857419.34
2025-06-25,9,19857419.34,2206379.93,60898.72,19918318.06
2025-06-26,10,19918318.06,1991831.81,140127.55,20058445.61
2025-06-27,8,20058445.61,2507305.70,104358.56,20162804.17
2025-06-30,10,20162804.17,2016280.42,121646.07,20284450.24
2025-07-01,9,20284450.24,2253827.80,72352.59,20356802.83
2025-07-02,9,20356802.83,2261866.98,84590.65,20441393.48
2025-07-03,8,20441393.48,2555174.19,86398.63,20527792.11
2025-07-04,10,20527792.11,2052779.21,90042.31,20617834.42
2025-07-07,10,20617834.42,2061783.44,64085.09,20681919.51
2025-07-08,8,20681919.51,2585239.94,102467.10,20784386.61
2025-07-09,4,20784386.61,5196096.65,112317.83,20896704.44
2025-07-10,9,20896704.44,2321856.05,165052.35,21061756.79
2025-07-11,10,21061756.79,2106175.68,132974.12,21194730.91
2025-07-14,9,21194730.91,2354970.10,126986.05,21321716.96
2025-07-15,8,21321716.96,2665214.62,-63284.80,21258432.16
2025-07-16,8,21258432.16,2657304.02,79035.39,21337467.55
2025-07-17,8,21337467.55,2667183.44,57326.14,21394793.69
2025-07-18,7,21394793.69,3056399.10,76957.17,21471750.86
2025-07-21,9,21471750.86,2385750.10,142714.87,21614465.73
2025-07-22,9,21614465.73,2401607.30,119814.85,21734280.58
2025-07-23,8,21734280.58,2716785.07,91120.68,21825401.26
2025-07-24,8,21825401.26,2728175.16,105937.85,21931339.11
