date,trade_count,capital_start,allocation_per_stock,zero_quantity_count,total_pnl,capital_end
2025-02-01,10,10000000.00,1000000.00,0,36935.46,10036935.46
2025-02-03,10,10036935.46,1003693.55,0,22735.41,10059670.87
2025-02-04,10,10059670.87,1005967.09,0,16876.04,10076546.91
2025-02-05,9,10076546.91,1119616.32,0,-12684.29,10063862.62
2025-02-06,9,10063862.62,1118206.96,0,107773.57,10171636.19
2025-02-07,10,10171636.19,1017163.62,0,34603.83,10206240.02
2025-02-10,9,10206240.02,1134026.67,0,-222033.88,9984206.14
2025-02-11,10,9984206.14,998420.61,0,-229828.47,9754377.67
2025-02-12,9,9754377.67,1083819.74,0,96939.77,9851317.44
2025-02-13,10,9851317.44,985131.74,0,-63515.40,9787802.04
2025-02-14,8,9787802.04,1223475.25,0,-23631.74,9764170.30
2025-02-17,8,9764170.30,1220521.29,0,295435.68,10059605.98
2025-02-18,8,10059605.98,1257450.75,0,95344.94,10154950.92
2025-02-19,10,10154950.92,1015495.09,0,28937.42,10183888.34
2025-02-20,10,10183888.34,1018388.83,0,-76695.72,10107192.62
2025-02-21,9,10107192.62,1123021.40,0,37507.24,10144699.86
2025-02-24,10,10144699.86,1014469.99,0,-41232.99,10103466.87
2025-02-25,10,10103466.87,1010346.69,0,89107.02,10192573.89
2025-02-27,10,10192573.89,1019257.39,0,-208442.10,9984131.79
2025-02-28,10,9984131.79,998413.18,0,-92327.32,9891804.47
2025-03-03,10,9891804.47,989180.45,0,77761.72,9969566.19
2025-03-04,10,9969566.19,996956.62,0,104888.15,10074454.34
2025-03-05,10,10074454.34,1007445.43,0,-64546.82,10009907.52
2025-03-06,10,10009907.52,1000990.75,0,12580.47,10022487.99
2025-03-07,9,10022487.99,1113609.78,0,14336.15,10036824.14
2025-03-10,9,10036824.14,1115202.68,0,95195.37,10132019.51
2025-03-11,9,10132019.51,1125779.95,0,40974.44,10172993.95
2025-03-12,10,10172993.95,1017299.39,0,85781.18,10258775.13
2025-03-13,9,10258775.13,1139863.90,0,51764.62,10310539.75
2025-03-17,9,10310539.75,1145615.53,0,27562.90,10338102.65
2025-03-18,10,10338102.65,1033810.26,0,-24442.81,10313659.84
2025-03-19,10,10313659.84,1031365.98,0,-27041.26,10286618.58
2025-03-20,9,10286618.58,1142957.62,0,-31665.98,10254952.60
2025-03-21,9,10254952.60,1139439.18,0,171484.61,10426437.21
2025-03-24,10,10426437.21,1042643.72,0,-8880.72,10417556.49
2025-03-25,10,10417556.49,1041755.65,0,-115364.74,10302191.75
2025-03-26,10,10302191.75,1030219.17,0,31843.27,10334035.02
2025-03-27,10,10334035.02,1033403.50,0,73285.17,10407320.19
2025-03-28,10,10407320.19,1040732.02,0,23476.35,10430796.54
2025-04-01,10,10430796.54,1043079.65,0,-17337.40,10413459.14
2025-04-02,9,10413459.14,1157051.02,0,-79911.72,10333547.42
2025-04-03,9,10333547.42,1148171.94,0,64278.53,10397825.95
2025-04-04,10,10397825.95,1039782.59,0,-200707.90,10197118.05
2025-04-07,10,10197118.05,1019711.80,0,566768.05,10763886.10
2025-04-08,10,10763886.10,1076388.61,0,114556.68,10878442.78
2025-04-09,9,10878442.78,1208715.86,0,-31451.33,10846991.45
2025-04-11,10,10846991.45,1084699.14,0,-189434.03,10657557.42
2025-04-15,10,10657557.42,1065755.74,0,-96178.56,10561378.86
2025-04-16,9,10561378.86,1173486.54,0,-53503.36,10507875.50
2025-04-17,9,10507875.50,1167541.72,0,66422.77,10574298.27
2025-04-21,10,10574298.27,1057429.83,0,59846.86,10634145.13
2025-04-22,9,10634145.13,1181571.68,0,21004.25,10655149.38
2025-04-23,9,10655149.38,1183905.49,0,-29044.29,10626105.09
2025-04-24,9,10626105.09,1180678.34,0,-97910.65,10528194.44
2025-04-25,10,10528194.44,1052819.44,0,-84949.04,10443245.40
2025-04-28,8,10443245.40,1305405.67,0,77464.00,10520709.40
2025-04-29,9,10520709.40,1168967.71,0,25878.90,10546588.30
2025-04-30,8,10546588.30,1318323.54,0,-114393.52,10432194.78
2025-05-02,9,10432194.78,1159132.75,0,127376.93,10559571.71
2025-05-05,10,10559571.71,1055957.17,0,10319.92,10569891.63
2025-05-06,8,10569891.63,1321236.45,0,-24816.27,10545075.36
2025-05-07,10,10545075.36,1054507.54,0,193275.18,10738350.54
2025-05-08,10,10738350.54,1073835.05,0,-12848.52,10725502.02
2025-05-09,10,10725502.02,1072550.20,0,251362.75,10976864.77
