symbol,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
360ONE,230,155,67.39,18.91,0.08
3MINDIA,220,153,69.55,7.23,0.03
AADHARHFC,227,175,77.09,69.87,0.31
AARTIIND,230,147,63.91,-11.49,-0.05
AAVAS,229,153,66.81,33.33,0.15
ABB,216,135,62.50,-15.20,-0.07
ABBOTINDIA,241,40,16.60,-60.22,-0.25
ABCAPITAL,225,136,60.44,-16.92,-0.08
ABDL,237,162,68.35,-6.12,-0.03
ABFRL,223,145,65.02,-14.40,-0.06
ABLBL,220,146,66.36,15.64,0.07
ABREL,223,148,66.37,-44.36,-0.20
ABSLAMC,242,81,33.47,6.63,0.03
ACC,208,129,62.02,-18.80,-0.09
ACE,221,144,65.16,-0.57,-0.00
ACMESOLAR,224,173,77.23,78.48,0.35
ACUTAAS,226,163,72.12,33.54,0.15
ADANIENSOL,224,142,63.39,-20.57,-0.09
ADANIENT,222,117,52.70,-0.84,-0.00
ADANIGREEN,227,137,60.35,-31.31,-0.14
ADANIPORTS,218,142,65.14,15.88,0.07
ADANIPOWER,217,141,64.98,59.59,0.27
AEGISLOG,220,154,70.00,-29.49,-0.13
AEGISVOPAK,226,161,71.24,34.04,0.15
AFCONS,221,134,60.63,28.88,0.13
AFFLE,224,151,67.41,-2.16,-0.01
AIAENG,227,158,69.60,38.44,0.17
AIIL,238,97,40.76,-49.09,-0.21
AJANTPHARM,224,169,75.45,74.46,0.33
ALKEM,212,161,75.94,54.82,0.26
AMBER,233,156,66.95,-33.76,-0.14
AMBUJACEM,217,135,62.21,2.73,0.01
ANANDRATHI,239,46,19.25,11.26,0.05
ANANTRAJ,233,143,61.37,-8.20,-0.04
ANGELONE,235,72,30.64,-5.11,-0.02
ANTHEM,215,149,69.30,46.20,0.21
ANURAS,219,164,74.89,77.61,0.35
APARINDS,234,176,75.21,30.46,0.13
APLAPOLLO,217,152,70.05,47.63,0.22
APOLLOHOSP,216,149,68.98,48.41,0.22
APOLLOTYRE,221,145,65.61,8.20,0.04
APTUS,223,142,63.68,3.20,0.01
ASAHIINDIA,217,161,74.19,45.66,0.21
ASHOKLEY,223,138,61.88,-15.26,-0.07
ASIANPAINT,220,141,64.09,22.85,0.10
ASTERDM,214,148,69.16,24.00,0.11
ASTRAL,230,161,70.00,15.82,0.07
ATGL,221,142,64.25,-20.58,-0.09
ATHERENERG,235,175,74.47,12.69,0.05
ATUL,214,162,75.70,48.52,0.23
AUBANK,216,144,66.67,30.84,0.14
AUROPHARMA,217,155,71.43,16.48,0.08
AWL,222,163,73.42,34.59,0.16
AXISBANK,222,156,70.27,22.36,0.10
BAJAJ-AUTO,216,133,61.57,5.01,0.02
BAJAJFINSV,206,132,64.08,-10.35,-0.05
BAJAJHFL,200,104,52.00,9.44,0.05
BAJAJHLDNG,221,153,69.23,15.23,0.07
BAJFINANCE,218,124,56.88,-0.11,-0.00
BALKRISIND,225,156,69.33,11.34,0.05
BALRAMCHIN,222,165,74.32,26.19,0.12
BANDHANBNK,218,141,64.68,-44.80,-0.21
BANKBARODA,241,56,23.24,19.31,0.08
BANKINDIA,233,64,27.47,-5.40,-0.02
BATAINDIA,243,30,12.35,-76.09,-0.31
BAYERCROP,218,162,74.31,52.02,0.24
BBTC,219,137,62.56,-10.43,-0.05
BDL,232,138,59.48,-52.05,-0.22
BEL,219,140,63.93,17.46,0.08
BELRISE,221,142,64.25,6.86,0.03
BEML,235,131,55.74,-6.60,-0.03
BERGEPAINT,219,153,69.86,54.60,0.25
BHARATFORG,229,159,69.43,50.75,0.22
BHARTIARTL,218,145,66.51,48.51,0.22
BHARTIHEXA,228,163,71.49,20.14,0.09
BHEL,227,145,63.88,2.58,0.01
BIKAJI,216,160,74.07,44.71,0.21
BIOCON,216,147,68.06,9.60,0.04
BLS,224,136,60.71,-21.59,-0.10
BLUEDART,214,135,63.08,-2.70,-0.01
BLUEJET,231,151,65.37,4.53,0.02
BLUESTARCO,224,154,68.75,17.55,0.08
BOSCHLTD,221,148,66.97,-25.35,-0.11
BPCL,238,83,34.87,12.64,0.05
BRIGADE,246,42,17.07,-64.78,-0.26
BRITANNIA,209,147,70.33,39.71,0.19
BSE,227,133,58.59,-13.50,-0.06
BSOFT,221,133,60.18,-44.50,-0.20
CAMS,232,92,39.66,-33.26,-0.14
CANBK,241,56,23.24,24.01,0.10
CANFINHOME,225,153,68.00,43.77,0.19
CANHLIFE,212,166,78.30,102.47,0.48
CAPLIPOINT,218,161,73.85,44.92,0.21
CARBORUNIV,222,151,68.02,25.84,0.12
CARTRADE,229,161,70.31,-40.16,-0.18
CASTROLIND,240,18,7.50,-18.45,-0.08
CCL,220,169,76.82,42.32,0.19
CDSL,227,125,55.07,-34.61,-0.15
CEATLTD,233,144,61.80,-23.96,-0.10
CEMPRO,230,152,66.09,-4.62,-0.02
CENTRALBK,219,132,60.27,-4.14,-0.02
CESC,246,26,10.57,-21.16,-0.09
CGCL,229,168,73.36,51.06,0.22
CGPOWER,229,154,67.25,26.69,0.12
CHALET,225,153,68.00,12.23,0.05
CHAMBLFERT,218,141,64.68,11.57,0.05
CHENNPETRO,244,55,22.54,6.73,0.03
CHOICEIN,219,128,58.45,-60.11,-0.27
CHOLAFIN,222,138,62.16,-2.12,-0.01
CHOLAHLDNG,226,154,68.14,-5.33,-0.02
CIEINDIA,220,153,69.55,23.01,0.10
CIPLA,206,143,69.42,17.31,0.08
CLEAN,217,139,64.06,-7.99,-0.04
COALINDIA,214,120,56.07,-7.62,-0.04
COCHINSHIP,220,117,53.18,-51.01,-0.23
COFORGE,230,132,57.39,-7.75,-0.03
COHANCE,222,145,65.32,-55.51,-0.25
COLPAL,208,141,67.79,2.39,0.01
CONCOR,223,138,61.88,1.67,0.01
CONCORDBIO,226,164,72.57,80.64,0.36
COROMANDEL,223,156,69.96,23.35,0.10
CPPLUS,229,158,69.00,45.92,0.20
CRAFTSMAN,227,162,71.37,42.24,0.19
CREDITACC,232,156,67.24,-37.94,-0.16
CRISIL,222,160,72.07,29.69,0.13
CROMPTON,224,140,62.50,-12.72,-0.06
CUB,246,41,16.67,-10.95,-0.04
CUMMINSIND,219,151,68.95,42.21,0.19
CYIENT,217,144,66.36,1.00,0.00
DABUR,213,144,67.61,15.83,0.07
DALBHARAT,222,163,73.42,29.44,0.13
DATAPATTNS,233,160,68.67,-15.96,-0.07
DCMSHRIRAM,229,160,69.87,54.57,0.24
DEEPAKFERT,229,144,62.88,-37.20,-0.16
DEEPAKNTR,222,150,67.57,-3.68,-0.02
DELHIVERY,226,145,64.16,-2.90,-0.01
DEVYANI,225,155,68.89,0.30,0.00
DIVISLAB,217,144,66.36,26.67,0.12
DIXON,233,139,59.66,-7.91,-0.03
DLF,230,137,59.57,-14.50,-0.06
DMART,205,141,68.78,13.11,0.06
DOMS,221,153,69.23,34.56,0.16
DRREDDY,216,151,69.91,41.46,0.19
ECLERX,242,78,32.23,-81.20,-0.34
EICHERMOT,220,131,59.55,-10.08,-0.05
EIDPARRY,220,158,71.82,32.09,0.15
EIHOTEL,223,150,67.26,4.70,0.02
ELECON,229,139,60.70,-43.61,-0.19
ELGIEQUIP,221,152,68.78,24.15,0.11
EMAMILTD,220,158,71.82,25.93,0.12
EMCURE,221,161,72.85,59.29,0.27
EMMVEE,195,120,61.54,-13.79,-0.07
ENDURANCE,225,164,72.89,20.69,0.09
ENGINERSIN,233,156,66.95,-10.01,-0.04
ENRIN,224,147,65.62,-34.50,-0.15
ERIS,226,182,80.53,71.38,0.32
ESCORTS,218,132,60.55,-41.17,-0.19
ETERNAL,233,143,61.37,19.71,0.08
EXIDEIND,225,144,64.00,-13.35,-0.06
FACT,228,136,59.65,-39.17,-0.17
FEDERALBNK,222,160,72.07,17.24,0.08
FINCABLES,223,148,66.37,-30.00,-0.13
FIRSTCRY,226,153,67.70,-18.37,-0.08
FIVESTAR,224,149,66.52,-25.37,-0.11
FLUOROCHEM,227,170,74.89,45.00,0.20
FORCEMOT,225,129,57.33,-76.25,-0.34
FORTIS,227,148,65.20,11.72,0.05
FSL,242,103,42.56,-84.94,-0.35
GABRIEL,230,155,67.39,-11.24,-0.05
GAIL,224,85,37.95,-0.71,-0.00
GALLANTT,228,156,68.42,-5.82,-0.03
GESHIP,224,159,70.98,17.88,0.08
GICRE,246,17,6.91,5.58,0.02
GILLETTE,226,108,47.79,-18.83,-0.08
GLAND,230,167,72.61,53.19,0.23
GLAXO,236,71,30.08,-5.88,-0.02
GLENMARK,224,172,76.79,52.67,0.24
GMDCLTD,231,144,62.34,-13.10,-0.06
GMRAIRPORT,234,144,61.54,4.03,0.02
GODFRYPHLP,217,129,59.45,-45.53,-0.21
GODIGIT,222,179,80.63,112.32,0.51
GODREJCP,228,164,71.93,34.28,0.15
GODREJIND,227,163,71.81,22.44,0.10
GODREJPROP,228,128,56.14,-47.17,-0.21
GPIL,228,154,67.54,48.34,0.21
GRANULES,226,165,73.01,38.83,0.17
GRAPHITE,228,144,63.16,-39.01,-0.17
GRASIM,220,141,64.09,-0.06,-0.00
GRAVITA,228,152,66.67,15.82,0.07
GROWW,192,123,64.06,-19.01,-0.10
GRSE,233,136,58.37,-27.88,-0.12
HAL,219,136,62.10,-20.23,-0.09
HAVELLS,217,142,65.44,12.33,0.06
HBLENGINE,224,133,59.38,-31.25,-0.14
HCLTECH,225,134,59.56,8.11,0.04
HDBFS,224,141,62.95,-7.63,-0.03
HDFCAMC,238,65,27.31,-50.11,-0.21
HDFCBANK,220,125,56.82,40.76,0.19
HDFCLIFE,217,140,64.52,14.78,0.07
HEROMOTOCO,224,130,58.04,-25.49,-0.11
HEXT,229,160,69.87,56.75,0.25
HINDALCO,230,133,57.83,19.63,0.09
HINDCOPPER,227,133,58.59,-37.11,-0.16
HINDPETRO,246,29,11.79,-11.57,-0.05
HINDUNILVR,208,152,73.08,23.48,0.11
HINDZINC,238,116,48.74,-24.71,-0.10
HOMEFIRST,217,153,70.51,6.58,0.03
HONASA,233,172,73.82,86.61,0.37
HONAUT,209,152,72.73,-3.32,-0.02
HSCL,230,148,64.35,25.47,0.11
HUDCO,223,140,62.78,-2.45,-0.01
HYUNDAI,220,149,67.73,16.95,0.08
ICICIAMC,163,118,72.39,20.63,0.13
ICICIBANK,213,123,57.75,16.61,0.08
ICICIGI,220,155,70.45,18.45,0.08
ICICIPRULI,223,143,64.13,-5.52,-0.02
IDBI,226,147,65.04,-14.31,-0.06
IDEA,228,150,65.79,28.10,0.12
IDFCFIRSTB,218,141,64.68,-0.30,-0.00
IEX,221,130,58.82,-17.34,-0.08
IFCI,236,123,52.12,-98.21,-0.42
IGIL,227,159,70.04,12.34,0.05
IGL,220,136,61.82,-2.03,-0.01
IIFL,221,140,63.35,-14.03,-0.06
IKS,226,170,75.22,59.04,0.26
INDGN,218,165,75.69,61.11,0.28
INDHOTEL,226,152,67.26,9.50,0.04
INDIACEM,226,158,69.91,25.38,0.11
INDIAMART,216,164,75.93,47.17,0.22
INDIANB,238,93,39.08,-3.15,-0.01
INDIGO,227,112,49.34,-23.50,-0.10
INDUSINDBK,223,138,61.88,-19.33,-0.09
INDUSTOWER,242,27,11.16,-3.24,-0.01
INFY,241,58,24.07,-32.26,-0.13
INOXWIND,228,137,60.09,-53.20,-0.23
INTELLECT,219,140,63.93,10.92,0.05
IOB,209,125,59.81,10.16,0.05
IOC,230,98,42.61,16.47,0.07
IPCALAB,219,173,79.00,58.65,0.27
IRB,234,67,28.63,2.13,0.01
IRCON,234,134,57.26,-25.99,-0.11
IRCTC,210,140,66.67,7.76,0.04
IREDA,222,128,57.66,3.16,0.01
IRFC,221,126,57.01,-3.23,-0.01
ITC,234,52,22.22,-33.79,-0.14
ITCHOTELS,214,126,58.88,-26.56,-0.12
ITI,214,121,56.54,-1.27,-0.01
JAINREC,223,153,68.61,4.13,0.02
JBMA,229,131,57.21,-59.21,-0.26
JINDALSAW,225,147,65.33,-26.00,-0.12
JINDALSTEL,220,149,67.73,15.05,0.07
JIOFIN,217,106,48.85,-38.75,-0.18
JKCEMENT,213,148,69.48,-24.27,-0.11
JKTYRE,227,134,59.03,-14.99,-0.07
JMFINANCIL,222,129,58.11,-50.00,-0.23
JPPOWER,227,136,59.91,-16.49,-0.07
JSL,223,153,68.61,16.14,0.07
JSWCEMENT,224,145,64.73,5.97,0.03
JSWDULUX,220,186,84.55,92.10,0.42
JSWENERGY,229,143,62.45,11.83,0.05
JSWINFRA,224,129,57.59,-13.89,-0.06
JSWSTEEL,220,149,67.73,19.89,0.09
JUBLFOOD,214,143,66.82,8.24,0.04
JUBLINGREA,222,154,69.37,10.10,0.05
JUBLPHARMA,226,168,74.34,61.83,0.27
JWL,234,147,62.82,-6.91,-0.03
JYOTICNC,222,146,65.77,-19.84,-0.09
KAJARIACER,221,151,68.33,9.71,0.04
KALYANKJIL,225,125,55.56,-81.40,-0.36
KARURVYSYA,227,158,69.60,5.71,0.03
KAYNES,232,130,56.03,-54.35,-0.23
KEC,220,141,64.09,4.03,0.02
KEI,225,147,65.33,-7.71,-0.03
KFINTECH,225,145,64.44,-1.87,-0.01
KIMS,220,162,73.64,48.31,0.22
KIRLOSENG,227,157,69.16,16.29,0.07
KOTAKBANK,227,92,40.53,19.13,0.08
KPIL,225,171,76.00,45.31,0.20
KPITTECH,226,132,58.41,-28.07,-0.12
KPRMILL,223,154,69.06,47.43,0.21
LALPATHLAB,233,130,55.79,18.69,0.08
LATENTVIEW,229,157,68.56,-12.66,-0.06
LAURUSLABS,221,148,66.97,1.36,0.01
LEMONTREE,227,152,66.96,0.03,0.00
LENSKART,195,131,67.18,37.35,0.19
LGEINDIA,210,138,65.71,13.68,0.07
LICHSGFIN,213,141,66.20,1.01,0.00
LICI,235,33,14.04,-10.59,-0.05
LINDEINDIA,219,164,74.89,29.63,0.14
LLOYDSME,233,150,64.38,-16.54,-0.07
LODHA,228,140,61.40,-25.69,-0.11
LT,215,133,61.86,4.11,0.02
LTF,231,138,59.74,-11.89,-0.05
LTFOODS,226,158,69.91,35.13,0.16
LTM,222,133,59.91,-32.20,-0.15
LTTS,220,142,64.55,0.71,0.00
LUPIN,218,152,69.72,23.09,0.11
MAHABANK,226,139,61.50,-13.25,-0.06
MANAPPURAM,228,149,65.35,34.73,0.15
MANKIND,223,160,71.75,45.75,0.21
MAPMYINDIA,229,149,65.07,-17.46,-0.08
MARICO,222,169,76.13,67.78,0.31
MARUTI,214,127,59.35,-1.78,-0.01
MAXHEALTH,223,165,73.99,49.32,0.22
MAZDOCK,227,139,61.23,-19.67,-0.09
MCX,240,98,40.83,9.80,0.04
MEDANTA,217,150,69.12,23.08,0.11
MEESHO,177,125,70.62,6.95,0.04
MFSL,226,153,67.70,22.18,0.10
MGL,219,150,68.49,-4.83,-0.02
MINDACORP,233,163,69.96,32.94,0.14
MMTC,227,139,61.23,-58.93,-0.26
MOTHERSON,226,145,64.16,12.46,0.06
MOTILALOFS,232,150,64.66,-23.58,-0.10
MPHASIS,242,60,24.79,-6.01,-0.02
MRF,203,135,66.50,-4.52,-0.02
MRPL,238,138,57.98,37.33,0.16
MSUMI,224,158,70.54,40.95,0.18
MUTHOOTFIN,221,119,53.85,-31.27,-0.14
NAM-INDIA,224,142,63.39,-29.94,-0.13
NATCOPHARM,223,163,73.09,48.63,0.22
NATIONALUM,229,123,53.71,-43.82,-0.19
NAUKRI,228,144,63.16,0.24,0.00
NAVA,223,153,68.61,3.33,0.01
NAVINFLUOR,218,143,65.60,13.05,0.06
NBCC,227,131,57.71,-26.98,-0.12
NCC,220,127,57.73,-13.05,-0.06
NESTLEIND,212,168,79.25,55.34,0.26
NETWEB,238,147,61.76,-44.23,-0.19
NEULANDLAB,227,156,68.72,15.32,0.07
NEWGEN,229,135,58.95,-47.91,-0.21
NH,216,162,75.00,36.57,0.17
NHPC,218,143,65.60,12.85,0.06
NIACL,219,136,62.10,-44.45,-0.20
NIVABUPA,221,157,71.04,76.93,0.35
NLCINDIA,227,167,73.57,52.27,0.23
NMDC,235,92,39.15,4.42,0.02
NSLNISP,224,134,59.82,-42.65,-0.19
NTPC,208,147,70.67,26.10,0.13
NTPCGREEN,206,138,66.99,13.20,0.06
NUVAMA,228,95,41.67,0.18,0.00
NUVOCO,223,159,71.30,34.64,0.16
NYKAA,229,162,70.74,39.52,0.17
OBEROIRLTY,220,143,65.00,23.33,0.11
OFSS,238,75,31.51,-40.71,-0.17
OIL,226,154,68.14,-14.73,-0.07
OLAELEC,186,121,65.05,-34.37,-0.18
OLECTRA,221,133,60.18,-62.31,-0.28
ONESOURCE,224,165,73.66,33.93,0.15
ONGC,232,99,42.67,19.24,0.08
PAGEIND,221,158,71.49,21.39,0.10
PARADEEP,228,148,64.91,-8.24,-0.04
PATANJALI,209,154,73.68,52.32,0.25
PAYTM,230,139,60.43,-27.53,-0.12
PCBL,223,133,59.64,-59.44,-0.27
PERSISTENT,225,139,61.78,6.35,0.03
PETRONET,234,127,54.27,-10.24,-0.04
PFC,227,141,62.11,0.61,0.00
PFIZER,222,152,68.47,26.36,0.12
PFOCUS,193,147,76.17,72.02,0.37
PGEL,232,157,67.67,-13.40,-0.06
PHOENIXLTD,218,162,74.31,55.00,0.25
PIDILITIND,215,140,65.12,17.17,0.08
PIIND,209,133,63.64,2.38,0.01
PINELABS,194,129,66.49,28.33,0.15
PIRAMALFIN,190,156,82.11,85.02,0.45
PNB,239,62,25.94,-3.13,-0.01
PNBHOUSING,216,128,59.26,-34.59,-0.16
POLICYBZR,226,157,69.47,27.46,0.12
POLYCAB,215,131,60.93,-9.21,-0.04
