symbol,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
GMRAIRPORT,62,44,70.97,10.92,0.18
GODFRYPHLP,56,31,55.36,-17.13,-0.31
GODIGIT,58,45,77.59,17.19,0.30
GODREJCP,55,36,65.45,3.57,0.06
GODREJIND,58,43,74.14,10.64,0.18
GODREJPROP,60,31,51.67,-12.60,-0.21
GPIL,58,46,79.31,20.17,0.35
GRANULES,54,44,81.48,16.07,0.30
GRAPHITE,58,41,70.69,-2.65,-0.05
GRASIM,57,37,64.91,5.71,0.10
GRAVITA,57,41,71.93,11.25,0.20
GROWW,55,37,67.27,-3.16,-0.06
GRSE,57,31,54.39,-9.92,-0.17
HAL,54,34,62.96,-6.51,-0.12
HAVELLS,53,40,75.47,8.37,0.16
HBLENGINE,59,36,61.02,-15.86,-0.27
HCLTECH,62,32,51.61,4.02,0.06
HDBFS,61,41,67.21,0.87,0.01
HDFCAMC,55,36,65.45,-4.89,-0.09
HDFCBANK,56,29,51.79,7.22,0.13
HDFCLIFE,57,38,66.67,3.03,0.05
HEROMOTOCO,54,33,61.11,-0.04,-0.00
HEXT,60,41,68.33,8.82,0.15
HINDALCO,60,36,60.00,11.31,0.19
HINDCOPPER,58,35,60.34,7.95,0.14
HINDPETRO,63,14,22.22,-5.78,-0.09
HINDUNILVR,51,37,72.55,5.34,0.10
HINDZINC,62,25,40.32,-9.13,-0.15
HOMEFIRST,55,40,72.73,0.46,0.01
HONASA,60,47,78.33,17.98,0.30
HONAUT,51,40,78.43,0.90,0.02
HSCL,61,41,67.21,-2.12,-0.03
HUDCO,57,38,66.67,10.47,0.18
HYUNDAI,58,39,67.24,1.94,0.03
ICICIAMC,58,44,75.86,12.01,0.21
ICICIBANK,59,35,59.32,6.58,0.11
ICICIGI,61,40,65.57,-2.11,-0.03
ICICIPRULI,60,40,66.67,-7.73,-0.13
IDBI,55,39,70.91,5.58,0.10
IDEA,53,36,67.92,8.52,0.16
IDFCFIRSTB,57,35,61.40,1.53,0.03
IEX,59,41,69.49,10.69,0.18
IFCI,61,39,63.93,-17.78,-0.29
IGIL,57,47,82.46,14.44,0.25
IGL,55,36,65.45,4.07,0.07
IIFL,60,44,73.33,2.77,0.05
IKS,59,50,84.75,20.67,0.35
INDGN,52,46,88.46,28.38,0.55
INDHOTEL,54,38,70.37,1.76,0.03
INDIACEM,57,44,77.19,4.49,0.08
INDIAMART,58,45,77.59,4.30,0.07
INDIANB,59,40,67.80,-0.31,-0.01
INDIGO,59,28,47.46,-3.46,-0.06
INDUSINDBK,58,36,62.07,-4.40,-0.08
INDUSTOWER,61,15,24.59,-8.43,-0.14
INFY,59,26,44.07,-15.01,-0.25
INOXWIND,54,33,61.11,-19.33,-0.36
INTELLECT,53,32,60.38,-5.72,-0.11
IOB,53,32,60.38,-2.38,-0.04
IOC,55,30,54.55,4.72,0.09
IPCALAB,55,42,76.36,4.33,0.08
IRB,56,38,67.86,0.46,0.01
IRCON,62,37,59.68,1.25,0.02
IRCTC,49,34,69.39,-2.58,-0.05
IREDA,53,31,58.49,-3.09,-0.06
IRFC,51,34,66.67,1.82,0.04
ITC,52,37,71.15,4.64,0.09
ITCHOTELS,59,33,55.93,-24.24,-0.41
ITI,53,32,60.38,7.42,0.14
JAINREC,58,36,62.07,-1.50,-0.03
JBMA,57,32,56.14,-9.58,-0.17
JINDALSAW,57,40,70.18,7.42,0.13
JINDALSTEL,61,44,72.13,7.68,0.13
JIOFIN,54,21,38.89,-21.11,-0.39
JKCEMENT,55,42,76.36,6.54,0.12
JKTYRE,57,33,57.89,-2.72,-0.05
JMFINANCIL,55,36,65.45,-3.73,-0.07
JPPOWER,60,40,66.67,4.65,0.08
JSL,58,44,75.86,9.45,0.16
JSWCEMENT,55,39,70.91,8.03,0.15
JSWDULUX,60,54,90.00,22.43,0.37
JSWENERGY,59,39,66.10,18.70,0.32
JSWINFRA,56,36,64.29,-4.13,-0.07
JSWSTEEL,60,42,70.00,14.67,0.24
JUBLFOOD,60,40,66.67,5.15,0.09
JUBLINGREA,58,45,77.59,9.76,0.17
JUBLPHARMA,58,45,77.59,22.02,0.38
JWL,59,36,61.02,5.46,0.09
JYOTICNC,56,41,73.21,6.51,0.12
KAJARIACER,56,44,78.57,20.04,0.36
KALYANKJIL,60,39,65.00,-24.84,-0.41
KARURVYSYA,56,41,73.21,9.42,0.17
KAYNES,61,38,62.30,-6.57,-0.11
KEC,55,37,67.27,5.79,0.11
KEI,59,37,62.71,-17.38,-0.29
KFINTECH,58,45,77.59,17.81,0.31
KIMS,53,43,81.13,19.56,0.37
KIRLOSENG,61,46,75.41,18.78,0.31
KOTAKBANK,57,36,63.16,2.26,0.04
KPIL,58,44,75.86,17.83,0.31
KPITTECH,56,31,55.36,-18.30,-0.33
KPRMILL,57,35,61.40,-16.02,-0.28
LALPATHLAB,59,45,76.27,14.03,0.24
LATENTVIEW,60,41,68.33,2.29,0.04
LAURUSLABS,58,38,65.52,-9.42,-0.16
LEMONTREE,55,39,70.91,-1.79,-0.03
LENSKART,60,45,75.00,19.75,0.33
LGEINDIA,60,42,70.00,7.56,0.13
LICHSGFIN,57,38,66.67,-7.86,-0.14
LICI,52,31,59.62,15.94,0.31
LINDEINDIA,59,43,72.88,-3.45,-0.06
LLOYDSME,60,42,70.00,-5.02,-0.08
LODHA,58,30,51.72,-17.12,-0.30
LT,56,35,62.50,3.64,0.07
LTF,58,37,63.79,-0.50,-0.01
LTFOODS,56,41,73.21,17.05,0.30
LTM,58,31,53.45,-21.34,-0.37
LTTS,57,37,64.91,1.18,0.02
LUPIN,55,39,70.91,-1.09,-0.02
MAHABANK,59,46,77.97,-1.09,-0.02
MANAPPURAM,60,33,55.00,6.31,0.11
MANKIND,56,40,71.43,16.93,0.30
MAPMYINDIA,60,40,66.67,5.04,0.08
MARICO,59,52,88.14,21.41,0.36
MARUTI,59,34,57.63,-8.48,-0.14
MAXHEALTH,60,48,80.00,8.62,0.14
MAZDOCK,59,40,67.80,-3.65,-0.06
MCX,61,40,65.57,-5.87,-0.10
MEDANTA,58,45,77.59,6.97,0.12
MEESHO,58,49,84.48,38.35,0.66
