symbol,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
360ONE,128,81,63.28,33.12,0.26
3MINDIA,93,57,61.29,8.36,0.09
AADHARHFC,101,65,64.36,1.06,0.01
AARTIIND,124,72,58.06,39.04,0.31
AAVAS,112,68,60.71,-14.33,-0.13
ABB,94,52,55.32,21.67,0.23
ABBOTINDIA,219,19,8.68,-15.43,-0.07
ABCAPITAL,112,60,53.57,11.44,0.10
ABDL,152,97,63.82,23.67,0.16
ABFRL,131,74,56.49,0.26,0.00
ABLBL,125,73,58.40,3.78,0.03
ABREL,126,82,65.08,22.32,0.18
ABSLAMC,230,69,30.00,4.72,0.02
ACC,78,43,55.13,-27.23,-0.35
ACE,127,73,57.48,-14.86,-0.12
ACMESOLAR,129,91,70.54,20.70,0.16
ACUTAAS,143,94,65.73,40.45,0.28
ADANIENSOL,140,80,57.14,33.87,0.24
ADANIENT,150,68,45.33,29.87,0.20
ADANIGREEN,145,75,51.72,45.54,0.31
ADANIPORTS,85,48,56.47,16.79,0.20
ADANIPOWER,143,81,56.64,58.91,0.41
AEGISLOG,144,95,65.97,-0.76,-0.01
AEGISVOPAK,162,114,70.37,63.37,0.39
AFCONS,116,69,59.48,-37.96,-0.33
AFFLE,119,67,56.30,-7.50,-0.06
AIAENG,110,68,61.82,-5.94,-0.05
AIIL,194,66,34.02,-28.90,-0.15
AJANTPHARM,90,64,71.11,0.03,0.00
ALKEM,71,45,63.38,17.54,0.25
AMBER,132,73,55.30,-12.22,-0.09
AMBUJACEM,99,55,55.56,3.38,0.03
ANANDRATHI,201,12,5.97,27.97,0.14
ANANTRAJ,161,99,61.49,26.23,0.16
ANGELONE,193,42,21.76,14.69,0.08
ANTHEM,107,77,71.96,10.79,0.10
ANURAS,111,69,62.16,11.38,0.10
APARINDS,142,104,73.24,4.55,0.03
APLAPOLLO,99,53,53.54,8.99,0.09
APOLLOHOSP,50,25,50.00,5.13,0.10
APOLLOTYRE,105,62,59.05,-0.66,-0.01
APTUS,135,78,57.78,8.56,0.06
ASAHIINDIA,119,83,69.75,-22.78,-0.19
ASHOKLEY,112,61,54.46,30.98,0.28
ASIANPAINT,59,26,44.07,14.57,0.25
ASTERDM,116,70,60.34,11.61,0.10
ASTRAL,107,64,59.81,7.78,0.07
ATGL,120,69,57.50,15.27,0.13
ATHERENERG,175,127,72.57,61.56,0.35
ATUL,103,71,68.93,16.10,0.16
AUBANK,100,53,53.00,14.91,0.15
AUROPHARMA,95,61,64.21,32.86,0.35
AWL,115,73,63.48,4.07,0.04
AXISBANK,54,30,55.56,20.00,0.37
BAJAJ-AUTO,75,41,54.67,18.48,0.25
BAJAJFINSV,69,33,47.83,27.35,0.40
BAJAJHFL,71,30,42.25,2.24,0.03
BAJAJHLDNG,100,63,63.00,-3.74,-0.04
BAJFINANCE,80,35,43.75,15.01,0.19
BALKRISIND,103,60,58.25,0.38,0.00
BALRAMCHIN,129,92,71.32,28.61,0.22
BANDHANBNK,115,70,60.87,11.05,0.10
BANKBARODA,199,22,11.06,14.15,0.07
BANKINDIA,202,42,20.79,21.61,0.11
BATAINDIA,238,26,10.92,-37.47,-0.16
BAYERCROP,73,46,63.01,-10.56,-0.14
BBTC,114,64,56.14,14.62,0.13
BDL,142,80,56.34,-8.20,-0.06
BEL,74,40,54.05,2.33,0.03
BELRISE,128,72,56.25,26.63,0.21
BEML,157,70,44.59,36.89,0.23
BERGEPAINT,107,72,67.29,0.09,0.00
BHARATFORG,112,71,63.39,33.31,0.30
BHARTIARTL,45,21,46.67,3.45,0.08
BHARTIHEXA,95,61,64.21,4.76,0.05
BHEL,132,72,54.55,49.58,0.38
BIKAJI,74,51,68.92,-7.10,-0.10
BIOCON,90,54,60.00,26.11,0.29
BLS,137,78,56.93,-6.45,-0.05
