symbol,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
360ONE,35,20,57.14,11.29,0.32
3MINDIA,23,16,69.57,4.92,0.21
AADHARHFC,28,20,71.43,5.36,0.19
AARTIIND,31,19,61.29,15.28,0.49
AAVAS,33,20,60.61,-5.19,-0.16
ABB,25,11,44.00,13.65,0.55
ABBOTINDIA,38,7,18.42,2.57,0.07
ABCAPITAL,23,13,56.52,9.69,0.42
ABDL,39,27,69.23,10.67,0.27
ABFRL,33,22,66.67,1.65,0.05
ABLBL,32,19,59.38,5.17,0.16
ABREL,25,17,68.00,8.08,0.32
ABSLAMC,46,25,54.35,-2.76,-0.06
ACC,19,9,47.37,-2.34,-0.12
ACE,39,23,58.97,-0.33,-0.01
ACMESOLAR,29,19,65.52,9.14,0.32
ACUTAAS,38,30,78.95,4.16,0.11
ADANIENSOL,38,29,76.32,5.92,0.16
ADANIENT,28,16,57.14,-2.98,-0.11
ADANIGREEN,36,22,61.11,-6.46,-0.18
ADANIPORTS,20,11,55.00,-3.41,-0.17
ADANIPOWER,31,21,67.74,3.13,0.10
AEGISLOG,45,32,71.11,0.22,0.00
AEGISVOPAK,48,33,68.75,48.40,1.01
AFCONS,31,17,54.84,-1.35,-0.04
AFFLE,29,15,51.72,4.95,0.17
AIAENG,28,19,67.86,-1.48,-0.05
AIIL,39,28,71.79,-11.26,-0.29
AJANTPHARM,30,21,70.00,4.25,0.14
ALKEM,13,11,84.62,-0.84,-0.06
AMBER,27,15,55.56,4.98,0.18
AMBUJACEM,25,13,52.00,3.80,0.15
ANANDRATHI,19,8,42.11,9.13,0.48
ANANTRAJ,40,29,72.50,17.17,0.43
ANGELONE,34,21,61.76,-5.17,-0.15
ANTHEM,30,24,80.00,12.29,0.41
ANURAS,16,14,87.50,9.33,0.58
APARINDS,39,30,76.92,-15.08,-0.39
APLAPOLLO,24,14,58.33,-1.84,-0.08
APOLLOHOSP,8,4,50.00,2.70,0.34
APOLLOTYRE,24,14,58.33,-2.53,-0.11
APTUS,35,18,51.43,1.87,0.05
ASAHIINDIA,28,22,78.57,-0.36,-0.01
ASHOKLEY,28,14,50.00,10.34,0.37
ASIANPAINT,15,8,53.33,4.45,0.30
ASTERDM,23,15,65.22,0.83,0.04
ASTRAL,22,10,45.45,0.09,0.00
ATGL,35,23,65.71,6.13,0.18
ATHERENERG,43,30,69.77,34.69,0.81
ATUL,29,21,72.41,10.97,0.38
AUBANK,22,12,54.55,-0.72,-0.03
AUROPHARMA,22,15,68.18,9.07,0.41
AWL,30,19,63.33,5.38,0.18
AXISBANK,12,8,66.67,-0.73,-0.06
BAJAJ-AUTO,15,10,66.67,2.08,0.14
BAJAJFINSV,19,10,52.63,13.87,0.73
BAJAJHFL,14,6,42.86,-0.62,-0.04
BAJAJHLDNG,22,16,72.73,3.03,0.14
BAJFINANCE,22,13,59.09,10.28,0.47
BALKRISIND,24,15,62.50,5.87,0.24
BALRAMCHIN,38,26,68.42,16.84,0.44
BANDHANBNK,30,21,70.00,-14.77,-0.49
BANKBARODA,15,8,53.33,-0.93,-0.06
BANKINDIA,20,16,80.00,4.98,0.25
