symbol,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
360ONE,10,6,60.00,-1.42,-0.14
3MINDIA,7,5,71.43,0.26,0.04
AADHARHFC,4,3,75.00,-1.96,-0.49
AARTIIND,11,8,72.73,0.39,0.04
AAVAS,11,6,54.55,-1.05,-0.10
ABB,6,2,33.33,-0.45,-0.07
ABBOTINDIA,6,4,66.67,0.90,0.15
ABCAPITAL,8,4,50.00,-1.86,-0.23
ABDL,10,7,70.00,1.52,0.15
ABFRL,15,9,60.00,-3.74,-0.25
ABLBL,10,4,40.00,-2.49,-0.25
ABREL,8,6,75.00,-0.30,-0.04
ABSLAMC,11,9,81.82,-0.44,-0.04
ACC,4,2,50.00,1.73,0.43
ACE,12,7,58.33,4.80,0.40
ACMESOLAR,9,8,88.89,-5.17,-0.57
ACUTAAS,16,16,100.00,4.85,0.30
ADANIENSOL,12,7,58.33,1.51,0.13
ADANIENT,6,4,66.67,-1.19,-0.20
ADANIGREEN,10,5,50.00,-1.29,-0.13
ADANIPORTS,3,0,0.00,-0.02,-0.01
ADANIPOWER,9,5,55.56,1.63,0.18
AEGISLOG,16,12,75.00,8.43,0.53
AEGISVOPAK,15,9,60.00,13.95,0.93
AFCONS,9,3,33.33,-3.16,-0.35
AFFLE,11,3,27.27,-3.10,-0.28
AIAENG,7,3,42.86,-4.71,-0.67
AIIL,14,9,64.29,-7.90,-0.56
AJANTPHARM,11,8,72.73,-3.11,-0.28
ALKEM,5,4,80.00,0.50,0.10
AMBER,6,3,50.00,-1.17,-0.19
AMBUJACEM,7,3,42.86,-0.45,-0.06
ANANDRATHI,4,3,75.00,0.65,0.16
ANANTRAJ,11,7,63.64,6.57,0.60
ANGELONE,15,8,53.33,-7.51,-0.50
ANTHEM,12,10,83.33,5.46,0.46
ANURAS,4,3,75.00,1.70,0.43
APARINDS,12,11,91.67,-4.26,-0.35
APLAPOLLO,9,5,55.56,-4.58,-0.51
APOLLOHOSP,5,2,40.00,-0.46,-0.09
APOLLOTYRE,10,7,70.00,1.00,0.10
APTUS,12,8,66.67,-1.77,-0.15
ASAHIINDIA,8,5,62.50,-0.35,-0.04
ASHOKLEY,10,6,60.00,0.18,0.02
ASIANPAINT,6,4,66.67,-0.66,-0.11
ASTERDM,10,5,50.00,-7.59,-0.76
ASTRAL,7,4,57.14,-6.18,-0.88
ATGL,14,7,50.00,3.51,0.25
ATHERENERG,13,8,61.54,7.25,0.56
ATUL,10,7,70.00,0.55,0.06
