symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
CARBORUNIV,1021.70,1030.00,993.20,998.40,1020.63,SHORT,1021.70,1020.63,1020.63,true,1.07,0.10
THELEELA,402.10,410.00,402.10,407.05,410.07,LONG,402.10,410.07,407.05,false,4.95,1.23
ACMESOLAR,335.50,346.55,333.00,334.90,341.97,LONG,335.50,341.97,341.97,true,6.47,1.93
SUZLON,53.79,54.12,53.07,53.39,54.58,LONG,53.79,54.58,53.39,false,-0.40,-0.74
ABDL,569.00,611.60,560.00,610.10,578.05,LONG,569.00,578.05,578.05,true,9.05,1.59
AEGISVOPAK,197.70,210.40,193.41,198.90,199.78,LONG,197.70,199.78,199.78,true,2.08,1.05
CGCL,199.50,201.28,198.00,199.61,202.20,LONG,199.50,202.20,199.61,false,0.11,0.06
CONCORDBIO,1323.00,1349.00,1297.70,1347.90,1331.06,LONG,1323.00,1331.06,1331.06,true,8.06,0.61
GODFRYPHLP,2219.90,2235.60,2185.00,2194.00,2260.84,LONG,2219.90,2260.84,2194.00,false,-25.90,-1.17
ASTERDM,814.00,825.00,806.45,814.10,813.83,SKIP,,,,,,
