symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
MEESHO,189.80,195.92,189.57,190.55,190.15,LONG,189.80,190.15,190.15,true,0.35,0.18
ATGL,705.00,712.70,698.10,699.85,709.84,LONG,705.00,709.84,709.84,true,4.84,0.69
AJANTPHARM,3263.00,3385.10,3263.00,3303.50,3311.87,LONG,3263.00,3311.87,3311.87,true,48.87,1.50
GESHIP,1380.10,1428.70,1378.20,1415.00,1394.21,LONG,1380.10,1394.21,1394.21,true,14.11,1.02
DCMSHRIRAM,1040.60,1058.40,1040.60,1047.00,1046.67,LONG,1040.60,1046.67,1046.67,true,6.07,0.58
ELGIEQUIP,580.00,591.95,577.70,589.30,584.71,LONG,580.00,584.71,584.71,true,4.71,0.81
MANKIND,2503.30,2555.10,2498.50,2530.00,2501.88,SKIP,,,,,,
CPPLUS,3554.00,3685.00,3531.70,3635.80,3555.32,SKIP,,,,,,
SOBHA,1451.00,1475.20,1438.20,1470.60,1465.20,LONG,1451.00,1465.20,1465.20,true,14.20,0.98
BRIGADE,502.75,537.15,500.00,533.90,510.47,LONG,502.75,510.47,510.47,true,7.72,1.54
