symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
INTELLECT,971.00,992.15,971.00,990.70,975.16,LONG,971.00,975.16,975.16,true,4.16,0.43
CLEAN,1178.00,1193.20,1170.50,1185.40,1177.26,SKIP,,,,,,
AIIL,646.40,648.10,607.60,645.10,3230.23,LONG,646.40,3230.23,645.10,false,-1.30,-0.20
ECLERX,2107.00,2264.40,2094.30,2248.60,4228.29,LONG,2107.00,4228.29,2248.60,false,141.60,6.72
KPRMILL,989.70,1001.20,979.00,984.60,983.23,SHORT,989.70,983.23,983.23,true,6.47,0.65
SYRMA,758.00,774.00,725.10,755.75,753.62,SHORT,758.00,753.62,753.62,true,4.38,0.58
TBOTEK,1307.30,1366.90,1296.50,1362.30,1331.72,LONG,1307.30,1331.72,1331.72,true,24.42,1.87
KALYANKJIL,503.00,510.75,502.05,510.30,505.84,LONG,503.00,505.84,505.84,true,2.84,0.56
3MINDIA,30510.00,31400.00,30510.00,31310.00,30622.09,LONG,30510.00,30622.09,30622.09,true,112.09,0.37
ABDL,508.90,523.50,502.30,519.05,510.18,LONG,508.90,510.18,510.18,true,1.28,0.25
