symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
ACMESOLAR,350.00,360.00,339.85,354.90,339.91,SHORT,350.00,339.91,339.91,true,10.09,2.88
AEGISVOPAK,194.00,194.00,187.21,190.11,192.78,SHORT,194.00,192.78,192.78,true,1.22,0.63
ASTERDM,738.90,756.00,738.90,756.00,740.55,LONG,738.90,740.55,740.55,true,1.65,0.22
CARBORUNIV,1040.10,1070.00,1023.90,1035.00,1022.28,SHORT,1040.10,1022.28,1035.00,false,5.10,0.49
HEXT,536.25,539.85,525.00,527.40,527.01,SHORT,536.25,527.01,527.01,true,9.24,1.72
ABDL,571.80,586.95,571.75,580.25,578.57,LONG,571.80,578.57,578.57,true,6.77,1.18
SONACOMS,605.05,609.40,599.00,602.40,604.05,SHORT,605.05,604.05,604.05,true,1.00,0.17
SUZLON,55.80,56.12,55.18,55.38,55.44,SHORT,55.80,55.44,55.44,true,0.36,0.65
TEGA,1876.00,1876.00,1826.10,1849.50,1864.09,SHORT,1876.00,1864.09,1864.09,true,11.91,0.63
THELEELA,411.00,421.90,410.75,420.55,420.79,LONG,411.00,420.79,420.79,true,9.79,2.38
