symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
CANHLIFE,149.00,150.14,144.27,147.09,149.64,LONG,149.00,149.64,149.64,true,0.64,0.43
AIIL,622.00,624.00,610.00,610.00,3102.42,LONG,622.00,3102.42,610.00,false,-12.00,-1.93
ATHERENERG,672.65,672.65,630.00,631.40,675.62,LONG,672.65,675.62,631.40,false,-41.25,-6.13
KAYNES,3715.00,3789.00,3630.00,3657.70,3802.68,LONG,3715.00,3802.68,3657.70,false,-57.30,-1.54
GODIGIT,335.00,336.90,331.30,334.15,336.23,LONG,335.00,336.23,336.23,true,1.23,0.37
JAINREC,401.00,408.50,395.10,395.85,398.23,SHORT,401.00,398.23,398.23,true,2.77,0.69
INTELLECT,947.70,972.40,916.00,917.85,960.35,LONG,947.70,960.35,960.35,true,12.65,1.33
KIRLOSENG,1173.20,1204.50,1153.20,1156.50,1206.35,LONG,1173.20,1206.35,1156.50,false,-16.70,-1.42
GABRIEL,1012.90,1019.30,970.00,974.20,1022.40,LONG,1012.90,1022.40,974.20,false,-38.70,-3.82
THERMAX,3050.00,3050.00,2986.10,3020.60,3067.54,LONG,3050.00,3067.54,3020.60,false,-29.40,-0.96
