symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
ACUTAAS,3163.40,3238.80,3162.10,3183.00,3205.97,LONG,3163.40,3205.97,3205.97,true,42.57,1.35
ASTERDM,758.50,763.30,752.35,756.60,754.39,SHORT,758.50,754.39,754.39,true,4.11,0.54
KIRLOSENG,2099.00,2145.00,2077.20,2137.40,2094.66,SHORT,2099.00,2094.66,2094.66,true,4.34,0.21
CUMMINSIND,5093.50,5115.00,5054.50,5082.00,5123.51,LONG,5093.50,5123.51,5082.00,false,-11.50,-0.23
THELEELA,577.55,578.80,561.20,576.00,574.78,SHORT,577.55,574.78,574.78,true,2.77,0.48
PPLPHARMA,215.00,216.12,210.50,213.00,214.07,SHORT,215.00,214.07,214.07,true,0.93,0.43
JUBLPHARMA,882.00,914.75,873.60,903.70,877.84,SHORT,882.00,877.84,877.84,true,4.16,0.47
CANHLIFE,155.50,156.99,151.50,154.37,154.08,SHORT,155.50,154.08,154.08,true,1.42,0.91
GALLANTT,563.00,574.65,548.80,552.95,568.85,LONG,563.00,568.85,568.85,true,5.85,1.04
NIVABUPA,81.26,83.85,80.15,82.12,81.41,LONG,81.26,81.41,81.41,true,0.15,0.18
