symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
TTML,38.78,38.88,38.44,38.56,39.56,LONG,38.78,39.56,38.56,false,-0.22,-0.57
PPLPHARMA,203.40,215.85,202.01,207.43,212.97,LONG,203.40,212.97,212.97,true,9.57,4.71
PFOCUS,276.75,279.20,267.60,271.05,272.28,SHORT,276.75,272.28,272.28,true,4.47,1.62
KIRLOSENG,2069.90,2111.90,2069.90,2100.00,2082.58,LONG,2069.90,2082.58,2082.58,true,12.68,0.61
CARBORUNIV,1179.20,1179.20,1132.30,1151.60,1163.79,SHORT,1179.20,1163.79,1163.79,true,15.41,1.31
CONCORDBIO,1461.60,1461.60,1428.00,1452.00,1441.72,SHORT,1461.60,1441.72,1441.72,true,19.88,1.36
THERMAX,4006.40,4061.70,3934.00,4049.50,4031.35,LONG,4006.40,4031.35,4031.35,true,24.95,0.62
THELEELA,508.45,511.65,504.60,510.45,507.90,SHORT,508.45,507.90,507.90,true,0.55,0.11
NIVABUPA,84.19,84.21,82.37,82.83,83.90,SHORT,84.19,83.90,83.90,true,0.29,0.34
RRKABEL,2830.00,2845.00,2765.40,2787.00,2815.01,SHORT,2830.00,2815.01,2815.01,true,14.99,0.53
