symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
SAPPHIRE,294.80,307.75,288.00,298.55,292.57,SHORT,294.80,292.57,292.57,true,2.23,0.76
GODREJIND,1159.90,1173.00,1140.30,1163.45,1156.19,SHORT,1159.90,1156.19,1156.19,true,3.71,0.32
SBFC,88.01,90.00,88.01,89.32,89.40,LONG,88.01,89.40,89.40,true,1.39,1.58
INDGN,541.95,572.60,531.80,568.50,547.02,LONG,541.95,547.02,547.02,true,5.07,0.94
ZFCVINDIA,2137.00,2148.00,2062.00,2108.00,12680.05,LONG,2137.00,12680.05,2108.00,false,-29.00,-1.36
GALLANTT,371.60,383.60,342.55,354.00,378.12,LONG,371.60,378.12,378.12,true,6.52,1.75
ACMESOLAR,191.50,196.92,188.71,196.60,191.89,LONG,191.50,191.89,191.89,true,0.39,0.20
JUBLPHARMA,865.60,899.00,851.10,892.65,863.26,SHORT,865.60,863.26,863.26,true,2.34,0.27
PERSISTENT,5440.60,5667.45,5440.60,5643.80,5562.05,LONG,5440.60,5562.05,5562.05,true,121.45,2.23
NUVAMA,1224.50,1237.50,1195.00,1229.50,6180.39,LONG,1224.50,6180.39,1229.50,false,5.00,0.41
