symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
GABRIEL,1192.00,1205.00,1179.00,1201.60,1172.70,SHORT,1192.00,1172.70,1201.60,false,-9.60,-0.81
SAGILITY,45.09,47.12,44.88,45.55,45.05,SKIP,,,,,,
ABDL,534.95,534.95,521.85,525.60,530.08,SHORT,534.95,530.08,530.08,true,4.87,0.91
ACUTAAS,1404.20,1410.40,1377.80,1401.70,1389.19,SHORT,1404.20,1389.19,1389.19,true,15.01,1.07
IKS,1595.00,1629.90,1584.00,1585.00,1577.44,SHORT,1595.00,1577.44,1585.00,false,10.00,0.63
NEULANDLAB,13695.00,14079.00,13532.00,13808.00,13722.38,LONG,13695.00,13722.38,13722.38,true,27.38,0.20
BHARATFORG,1160.80,1180.50,1148.90,1151.70,1168.11,LONG,1160.80,1168.11,1168.11,true,7.31,0.63
TBOTEK,1480.00,1481.60,1453.30,1456.00,1459.94,SHORT,1480.00,1459.94,1459.94,true,20.06,1.36
DEEPAKFERT,1499.70,1529.30,1487.20,1520.00,1486.31,SHORT,1499.70,1486.31,1520.00,false,-20.30,-1.35
SYRMA,728.60,751.95,720.90,745.00,721.94,SHORT,728.60,721.94,721.94,true,6.66,0.91
