symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
ADANIPOWER,157.26,168.00,156.77,166.02,156.41,SHORT,157.26,156.41,166.02,false,-8.76,-5.57
GMDCLTD,591.00,592.50,564.05,566.60,597.84,LONG,591.00,597.84,566.60,false,-24.40,-4.13
ZYDUSWELL,472.20,474.40,458.40,460.80,473.26,LONG,472.20,473.26,473.26,true,1.06,0.22
POWERINDIA,17750.00,17785.00,17372.00,17416.00,17598.27,SHORT,17750.00,17598.27,17598.27,true,151.73,0.85
ANURAS,1129.30,1165.00,1048.30,1056.00,1133.44,LONG,1129.30,1133.44,1133.44,true,4.14,0.37
MCX,1870.00,1898.00,1859.00,1864.00,9394.03,LONG,1870.00,9394.03,1864.00,false,-6.00,-0.32
IGIL,342.90,343.30,333.00,336.45,342.79,SKIP,,,,,,
TRAVELFOOD,1383.30,1389.60,1358.00,1367.70,1385.29,LONG,1383.30,1385.29,1385.29,true,1.99,0.14
INDIANB,766.65,767.65,740.70,765.75,781.05,LONG,766.65,781.05,765.75,false,-0.90,-0.12
TATAINVEST,924.00,926.00,887.00,889.00,919.33,SHORT,924.00,919.33,919.33,true,4.67,0.51
