symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
REDINGTON,246.70,250.75,241.65,242.75,249.21,LONG,246.70,249.21,249.21,true,2.51,1.02
GODIGIT,289.00,298.70,289.00,290.70,286.25,SHORT,289.00,286.25,290.70,false,-1.70,-0.59
ABDL,321.30,329.00,317.95,317.95,319.04,SHORT,321.30,319.04,319.04,true,2.26,0.70
MAXHEALTH,1160.00,1160.00,1110.30,1111.60,1151.56,SHORT,1160.00,1151.56,1151.56,true,8.44,0.73
HDFCAMC,2125.50,2137.30,2054.60,2056.00,4409.23,LONG,2125.50,4409.23,2056.00,false,-69.50,-3.27
VTL,479.95,491.10,467.65,472.15,476.33,SHORT,479.95,476.33,476.33,true,3.62,0.75
JSWINFRA,292.00,296.30,286.70,287.60,286.11,SHORT,292.00,286.11,287.60,false,4.40,1.51
GALLANTT,435.45,447.45,423.45,425.95,434.94,SHORT,435.45,434.94,434.94,true,0.51,0.12
LALPATHLAB,1422.50,1451.50,1379.00,1384.10,2826.08,LONG,1422.50,2826.08,1384.10,false,-38.40,-2.70
NATIONALUM,158.22,159.63,153.90,154.40,157.38,SHORT,158.22,157.38,157.38,true,0.84,0.53
