symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
CANHLIFE,139.17,140.90,135.90,136.48,139.47,LONG,139.17,139.47,139.47,true,0.30,0.22
IDEA,10.13,10.37,9.92,10.09,10.33,LONG,10.13,10.33,10.33,true,0.20,1.97
SARDAEN,462.40,467.80,453.10,462.55,472.99,LONG,462.40,472.99,462.55,false,0.15,0.03
NETWEB,3234.80,3251.90,3082.70,3120.10,3302.31,LONG,3234.80,3302.31,3120.10,false,-114.70,-3.55
ULTRACEMCO,11818.00,12034.00,11744.00,11994.00,12219.00,LONG,11818.00,12219.00,11994.00,false,176.00,1.49
NIVABUPA,77.17,77.80,76.25,77.01,77.63,LONG,77.17,77.63,77.63,true,0.46,0.60
NLCINDIA,252.45,253.10,243.95,247.90,255.33,LONG,252.45,255.33,247.90,false,-4.55,-1.80
ABLBL,112.00,114.89,110.17,113.89,114.56,LONG,112.00,114.56,114.56,true,2.56,2.29
ENDURANCE,2474.20,2488.90,2423.80,2439.30,2477.53,LONG,2474.20,2477.53,2477.53,true,3.33,0.13
IGL,176.53,181.37,174.50,176.49,177.75,LONG,176.53,177.75,177.75,true,1.22,0.69
