symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
ANANDRATHI,1344.40,1344.90,1296.40,1315.80,2664.64,LONG,1344.40,2664.64,1315.80,false,-28.60,-2.13
NUVOCO,409.95,419.25,408.65,414.45,408.95,SHORT,409.95,408.95,408.95,true,1.00,0.24
ONESOURCE,1999.00,2017.20,1981.00,1982.20,1991.91,SHORT,1999.00,1991.91,1991.91,true,7.09,0.35
CHENNPETRO,748.40,748.40,724.60,729.20,777.21,LONG,748.40,777.21,729.20,false,-19.20,-2.57
HAVELLS,1572.70,1574.20,1546.90,1553.70,1566.10,SHORT,1572.70,1566.10,1566.10,true,6.60,0.42
JSWDULUX,3781.20,3915.50,3766.60,3878.50,3810.85,LONG,3781.20,3810.85,3810.85,true,29.65,0.78
EMCURE,1417.20,1440.00,1417.20,1425.60,1429.10,LONG,1417.20,1429.10,1429.10,true,11.90,0.84
RBLBANK,258.50,259.95,255.00,255.89,257.63,SHORT,258.50,257.63,257.63,true,0.87,0.34
FIRSTCRY,364.05,365.65,353.65,358.20,362.28,SHORT,364.05,362.28,362.28,true,1.77,0.49
BLUEJET,816.00,850.00,793.10,812.65,844.71,LONG,816.00,844.71,844.71,true,28.71,3.52
