symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
GALLANTT,330.00,330.00,310.85,310.85,323.57,SHORT,330.00,323.57,323.57,true,6.43,1.95
CEATLTD,2917.00,3059.60,2898.10,3003.00,2910.59,SHORT,2917.00,2910.59,2910.59,true,6.41,0.22
HOMEFIRST,964.90,1000.00,956.95,992.80,980.77,LONG,964.90,980.77,980.77,true,15.87,1.64
SAPPHIRE,305.00,346.00,292.90,326.30,315.09,LONG,305.00,315.09,315.09,true,10.09,3.31
SBICARD,820.50,846.50,819.05,825.50,811.55,SHORT,820.50,811.55,825.50,false,-5.00,-0.61
DALBHARAT,1800.05,1840.15,1788.60,1806.70,1843.96,LONG,1800.05,1843.96,1806.70,false,6.65,0.37
ENDURANCE,2025.15,2035.85,1967.10,1996.80,2011.88,SHORT,2025.15,2011.88,2011.88,true,13.27,0.66
SOBHA,1384.95,1391.80,1339.00,1343.20,1363.26,SHORT,1384.95,1363.26,1363.26,true,21.69,1.57
NH,1355.40,1374.60,1342.20,1354.10,1364.13,LONG,1355.40,1364.13,1364.13,true,8.73,0.64
AEGISLOG,682.00,684.35,657.05,678.35,693.67,LONG,682.00,693.67,678.35,false,-3.65,-0.54
