symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
GODIGIT,322.20,324.40,318.50,318.70,320.15,SHORT,322.20,320.15,320.15,true,2.05,0.64
THELEELA,424.00,430.05,423.90,426.85,428.43,LONG,424.00,428.43,428.43,true,4.43,1.04
IRB,22.14,22.53,22.10,22.27,22.16,SKIP,,,,,,
GMDCLTD,746.75,771.90,714.20,737.10,712.09,SHORT,746.75,712.09,737.10,false,9.65,1.29
IKS,1525.40,1525.40,1488.80,1497.20,1523.13,SHORT,1525.40,1523.13,1523.13,true,2.27,0.15
JAINREC,419.20,427.40,417.45,421.85,419.58,SKIP,,,,,,
ACUTAAS,2330.00,2389.50,2325.40,2364.20,2311.54,SHORT,2330.00,2311.54,2364.20,false,-34.20,-1.47
RAINBOW,1269.50,1269.50,1241.90,1253.00,1252.96,SHORT,1269.50,1252.96,1252.96,true,16.54,1.30
PIRAMALFIN,1700.20,1715.00,1658.00,1675.70,1709.17,LONG,1700.20,1709.17,1709.17,true,8.97,0.53
AJANTPHARM,2829.80,2865.90,2782.60,2789.90,2832.07,SKIP,,,,,,
