symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
TTML,40.45,40.45,39.82,39.88,40.36,SHORT,40.45,40.36,40.36,true,0.09,0.22
PPLPHARMA,200.34,203.95,197.75,202.44,199.54,SHORT,200.34,199.54,199.54,true,0.80,0.40
CONCORDBIO,1460.00,1469.60,1412.00,1421.40,1418.20,SHORT,1460.00,1418.20,1418.20,true,41.80,2.86
CEMPRO,1366.00,1366.00,1297.70,1334.00,1353.64,SHORT,1366.00,1353.64,1353.64,true,12.36,0.90
JAINREC,318.00,332.35,312.55,322.55,347.15,LONG,318.00,347.15,322.55,false,4.55,1.43
SYNGENE,403.00,412.50,398.90,411.00,398.85,SHORT,403.00,398.85,411.00,false,-8.00,-1.99
EXIDEIND,449.15,459.40,441.60,459.00,450.92,LONG,449.15,450.92,450.92,true,1.77,0.39
RRKABEL,2639.50,2662.40,2598.70,2639.20,2631.88,SHORT,2639.50,2631.88,2631.88,true,7.62,0.29
ABDL,619.65,628.20,606.40,623.45,622.57,LONG,619.65,622.57,622.57,true,2.92,0.47
NIVABUPA,86.79,87.80,86.40,87.25,87.73,LONG,86.79,87.73,87.73,true,0.94,1.08
