symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
THELEELA,415.95,419.60,403.25,408.00,417.17,LONG,415.95,417.17,417.17,true,1.22,0.29
VTL,536.00,559.90,528.10,553.00,529.41,SHORT,536.00,529.41,529.41,true,6.59,1.23
ADANIPOWER,156.00,157.44,153.61,155.71,151.69,SHORT,156.00,151.69,155.71,false,0.29,0.19
KPRMILL,831.70,839.30,818.15,827.20,823.29,SHORT,831.70,823.29,823.29,true,8.41,1.01
CESC,150.96,152.60,149.70,150.43,156.46,LONG,150.96,156.46,150.43,false,-0.53,-0.35
CCL,1044.80,1053.60,1025.70,1038.80,1044.78,SKIP,,,,,,
GLAND,1633.00,1640.00,1601.30,1636.40,1598.02,SHORT,1633.00,1598.02,1636.40,false,-3.40,-0.21
MCX,2579.90,2681.00,2570.00,2672.80,2519.72,SHORT,2579.90,2519.72,2672.80,false,-92.90,-3.60
MRPL,208.22,212.00,192.30,200.05,198.97,SHORT,208.22,198.97,198.97,true,9.25,4.44
ZENTEC,1424.00,1434.00,1403.60,1423.80,1375.50,SHORT,1424.00,1375.50,1423.80,false,0.20,0.01
