SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (₹ Crores),52 WEEK HIGH,52 WEEK LOW,30 D %CHNG,365 D %CHNG
"BOSCHLTD","47,230.00","47,480.00","46,720.00","47,250.00","47,000.00","-","-250","-0.53","23197","109.06","50,000.00","28,610.00","13.8","14.36"
"JINDALSTEL","1,165.00","1,169.00","1,134.70","1,159.40","1,145.00","-","-14.4","-1.24","950251","108.81","1,306.20","956.10","3.61","11.34"
"GMRAIRPORT","95.00","96.87","94.31","93.99","96.87","-","2.88","3.06","11291487","108.21","115.64","84.11","-8.22","10.87"
"NHPC","76.11","77.21","75.87","75.65","76.45","-","0.8","1.06","14041987","107.49","89.22","71.62","-3.53","-3.69"
"PHOENIXLTD","1,923.00","1,971.00","1,920.60","1,920.10","1,960.00","-","39.9","2.08","540712","105.65","2,169.80","1,465.60","0.26","29.6"
"UNITDSPR","1,474.20","1,488.90","1,448.00","1,469.50","1,488.90","-","19.4","1.32","695331","102.71","1,563.40","1,210.80","-2.69","10.53"
"RADICO","4,489.00","4,559.00","4,442.50","4,476.20","4,559.00","-","82.8","1.85","225508","102.04","4,747.00","2,500.00","2.24","57.09"
"BALKRISIND","2,333.60","2,385.00","2,305.20","2,329.10","2,322.00","-","-7.1","-0.3","435290","102.00","2,775.00","1,970.00","-6.83","-1.76"
"LUPIN","2,148.00","2,159.90","2,132.00","2,155.20","2,132.00","-","-23.2","-1.08","474600","101.67","2,529.50","1,875.00","-10.91","9.27"
"LTF","313.80","317.70","311.40","312.80","316.90","-","4.1","1.31","3194737","100.61","338.60","220.45","-0.35","39.51"
"BANDHANBNK","163.49","168.18","162.66","161.52","164.23","-","2.71","1.68","6048725","100.29","220.76","134.25","-5.42","-0.3"
"MPHASIS","2,481.20","2,489.30","2,432.00","2,480.00","2,471.00","-","-9","-0.36","408569","100.14","3,037.20","2,013.00","1.73","-14.58"
"CARTRADE","2,949.00","3,024.00","2,888.70","2,932.30","3,012.00","-","79.7","2.72","333812","99.58","3,290.50","1,600.00","7.44","16.6"
"JSWENERGY","542.05","545.80","534.30","539.80","539.50","-","-0.3","-0.06","1829239","98.89","617.35","427.75","-5.18","5.98"
"CAMS","745.00","752.15","737.00","741.85","747.40","-","5.55","0.75","1321035","98.53","844.90","611.40","-5.51","-1.75"
"VOLTAS","1,158.00","1,183.00","1,151.70","1,152.10","1,178.00","-","25.9","2.25","832678","97.42","1,582.50","1,151.00","-11.08","-17.64"
"NYKAA","337.40","339.05","331.70","337.40","334.20","-","-3.2","-0.95","2909741","97.24","349.55","227.90","-3.1","40.59"
"HUDCO","181.82","184.69","179.15","178.35","181.00","-","2.65","1.49","5301907","96.79","246.85","159.00","-9.22","-16.37"
"AEGISLOG","1,255.00","1,294.90","1,235.50","1,241.80","1,287.90","-","46.1","3.71","754823","96.04","1,497.80","576.10","-7.23","83.54"
"UPL","579.00","586.15","578.00","578.45","585.35","-","6.9","1.19","1643846","95.95","812.20","557.95","-5.59","-18.2"
"SAMMAANCAP","153.40","154.98","151.55","152.31","153.48","-","1.17","0.77","6224479","95.58","192.95","125.10","-4.72","10.73"
"TATACONSUM","1,012.50","1,023.00","1,008.00","1,012.00","1,019.20","-","7.2","0.71","935640","95.25","1,282.70","1,007.20","-8.18","-7.71"
"ASTRAL","1,493.00","1,497.00","1,476.70","1,487.00","1,495.20","-","8.2","0.55","640757","95.23","1,768.70","1,311.60","4.15","4.87"
"KARURVYSYA","348.80","358.00","347.65","346.60","351.60","-","5","1.44","2690048","94.89","358.65","201.82","1.01","68.79"
"PIDILITIND","1,633.00","1,638.30","1,621.20","1,637.00","1,638.30","-","1.3","0.08","578059","94.25","1,707.50","1,259.00","-0.26","5.29"
"LTM","4,581.00","4,581.00","4,506.00","4,588.00","4,560.00","-","-28","-0.61","206556","93.67","6,429.50","3,528.00","-2.77","-12.16"
"NESTLEIND","1,424.10","1,424.10","1,407.00","1,425.00","1,416.00","-","-9","-0.63","660284","93.34","1,553.00","1,145.00","-7.45","18.51"
"CUMMINSIND","5,088.50","5,118.00","5,035.50","5,088.50","5,071.00","-","-17.5","-0.34","180394","91.87","6,100.00","3,792.00","-8.63","30.52"
"OLECTRA","1,247.00","1,289.70","1,240.00","1,238.90","1,245.00","-","6.1","0.49","710407","89.49","1,714.20","866.60","-7.38","-21.24"
"HINDPETRO","358.00","361.60","357.35","359.00","361.35","-","2.35","0.65","2429261","87.23","508.45","316.20","-8.52","-6.69"
"BAJAJFINSV","1,998.00","1,998.00","1,970.00","1,990.00","1,992.10","-","2.1","0.11","440070","87.19","2,195.00","1,597.00","-4.96","1.32"
"JSWINFRA","332.15","337.35","331.20","332.10","335.70","-","3.6","1.08","2588755","86.43","355.80","233.42","2.04","9.51"
"SUPREMEIND","3,530.70","3,558.40","3,472.60","3,530.60","3,508.10","-","-22.5","-0.64","243267","85.13","4,642.70","3,140.00","-0.62","-24.25"
"RVNL","207.20","211.52","207.20","206.00","209.30","-","3.3","1.6","4061743","85.13","400.70","203.83","-10.13","-37.45"
"JSL","734.90","741.00","726.00","734.90","740.50","-","5.6","0.76","1145373","84.23","884.00","652.25","1.2","-2.65"
"ICICIGI","1,541.40","1,541.40","1,510.10","1,537.00","1,521.70","-","-15.3","-1","541112","82.23","2,064.90","1,510.10","-9.15","-16.48"
"MRF","1,32,800.00","1,32,800.00","1,30,100.00","1,31,880.00","1,31,160.00","-","-720","-0.55","6240","81.57","1,63,600.00","1,22,000.00","-1.92","-12.88"
"SYRMA","1,447.30","1,460.00","1,405.50","1,434.00","1,455.20","-","21.2","1.48","566330","81.48","1,543.00","634.50","6.95","83.85"
"BELRISE","236.86","239.20","235.37","234.31","237.25","-","2.94","1.25","3416101","81.28","268.20","135.16","-1.91","68.68"
"MAZDOCK","2,459.00","2,497.80","2,459.00","2,459.00","2,474.00","-","15","0.61","324406","80.37","3,061.40","2,057.40","3.51","-8.9"
"UNOMINDA","1,244.00","1,269.00","1,235.80","1,236.00","1,269.00","-","33","2.67","638835","79.71","1,382.00","994.00","4.88","-1.11"
"IRB","19.21","20.04","19.21","19.18","19.73","-","0.55","2.87","40287061","79.69","23.95","18.76","-2.23","-8.23"
"GICRE","357.00","359.80","353.40","355.45","355.85","-","0.4","0.11","2236265","79.54","417.95","346.70","-0.61","-4.47"
"DABUR","379.90","381.55","377.45","379.00","380.70","-","1.7","0.45","2062074","78.12","577.00","377.45","-10.59","-29.95"
"CIPLA","1,414.00","1,415.40","1,389.40","1,412.80","1,394.70","-","-18.1","-1.28","549749","76.89","1,673.00","1,165.70","-5.41","-11.64"
"PIRAMALFIN","2,186.50","2,262.00","2,186.50","2,186.50","2,220.00","-","33.5","1.53","342240","76.75","2,324.00","1,260.00","8.41","0"
"PATANJALI","347.00","347.15","340.30","345.00","342.90","-","-2.1","-0.61","2236883","76.68","615.00","328.20","-5.8","-43.37"
"ABCAPITAL","398.10","402.00","396.95","397.05","402.00","-","4.95","1.25","1903527","76.10","430.70","272.70","-5.27","43.96"
"BDL","1,253.70","1,271.90","1,250.00","1,253.70","1,257.70","-","4","0.32","600045","75.58","1,654.00","1,086.00","-0.58","-14.13"
"NEULANDLAB","23,075.00","23,295.00","22,810.00","22,960.00","22,900.00","-","-60","-0.26","32650","75.01","23,881.00","11,500.00","16.39","59.38"
"M&MFIN","369.25","378.85","367.10","368.85","374.95","-","6.1","1.65","1943334","72.61","415.00","256.00","-7.53","44.38"
"OIL","498.15","499.65","487.35","498.15","490.00","-","-8.15","-1.64","1471365","72.41","531.00","390.00","8.41","21.66"
"HDFCLIFE","536.15","539.70","530.55","533.00","533.50","-","0.5","0.09","1356212","72.38","803.00","530.50","-3.54","-31.29"
"BLUESTARCO","1,458.80","1,508.90","1,455.30","1,445.30","1,485.70","-","40.4","2.8","480553","71.58","2,040.00","1,432.50","-14.08","-24.22"
"SHYAMMETL","1,077.60","1,101.90","1,069.80","1,072.60","1,081.00","-","8.4","0.78","661154","71.58","1,111.00","746.00","5.45","15.66"
"AMBER","7,445.50","7,473.00","7,365.00","7,415.00","7,410.00","-","-5","-0.07","95945","71.08","8,974.00","5,400.50","0.14","-3.03"
"DMART","3,824.10","3,824.10","3,752.00","3,813.40","3,763.00","-","-50.4","-1.32","186192","70.33","4,949.50","3,529.00","-6.28","-20.92"
"COCHINSHIP","1,466.00","1,497.10","1,465.00","1,463.00","1,486.70","-","23.7","1.62","465350","69.04","1,979.90","1,187.00","3.11","-14.47"
"FORTIS","915.00","920.00","908.45","915.00","917.50","-","2.5","0.27","751728","68.76","1,104.30","766.80","-2.39","-4.09"
"GRSE","2,507.00","2,536.50","2,501.00","2,495.10","2,518.00","-","22.9","0.92","270890","68.22","3,339.00","1,963.70","-2.51","0.66"
"PVRINOX","1,220.00","1,254.00","1,209.60","1,210.00","1,244.00","-","34","2.81","552239","68.15","1,284.50","907.40","8.99","10.89"
"EIDPARRY","804.00","818.50","770.10","800.65","777.50","-","-23.15","-2.89","856235","67.85","1,176.00","698.20","-0.36","-30.8"
"CUB","230.40","239.88","230.40","230.61","233.77","-","3.16","1.37","2859810","67.75","245.38","145.13","14.23","57.43"
"ACUTAAS","3,149.70","3,211.60","3,149.70","3,134.90","3,208.00","-","73.1","2.33","211905","67.69","3,740.00","1,302.00","2.94","127.16"
"IOC","136.30","137.80","136.25","137.00","137.80","-","0.8","0.58","4941277","67.65","188.96","130.22","-4.11","-1.91"
"JMFINANCIL","130.00","135.50","129.53","129.39","134.80","-","5.41","4.18","5030649","67.09","195.60","112.00","11.51","-28.87"
"MAXHEALTH","997.00","1,000.60","985.50","994.00","994.90","-","0.9","0.09","674912","66.89","1,221.90","903.00","-9.59","-14.38"
"ANTHEM","940.00","955.00","932.00","934.50","950.00","-","15.5","1.66","701484","66.24","955.00","579.15","14.48","15.34"
"GRAPHITE","730.00","737.90","712.95","726.60","721.60","-","-5","-0.69","889286","64.64","802.40","513.75","9.67","37.46"
"TATATECH","810.05","824.00","802.85","813.25","804.00","-","-9.25","-1.14","794230","64.32","891.00","507.40","5.26","17.41"
"SCI","289.95","297.65","289.95","288.20","296.10","-","7.9","2.74","2179977","64.30","368.75","195.55","1.18","33.37"
"COLPAL","1,863.00","1,871.90","1,845.00","1,861.50","1,850.00","-","-11.5","-0.62","338701","62.83","2,504.00","1,782.00","-10.93","-22.33"
"CPPLUS","3,700.00","3,770.10","3,616.10","3,721.40","3,725.00","-","3.6","0.1","167204","62.16","4,094.00","1,227.00","8.64","174.36"
"JINDALSAW","314.50","315.30","306.90","309.15","310.40","-","1.25","0.4","1986928","61.92","319.50","153.00","19.71","48.1"
"SAGILITY","46.95","47.30","46.67","46.70","46.80","-","0.1","0.21","12927418","60.75","57.89","35.83","6.65","5.26"
"PARADEEP","157.40","158.49","152.31","156.19","153.65","-","-2.54","-1.63","3920239","60.61","231.00","99.70","6.02","-27.17"
"NAUKRI","1,343.70","1,348.90","1,320.20","1,343.70","1,330.00","-","-13.7","-1.02","450580","60.06","1,433.60","908.30","4.82","-2.66"
"SRF","2,602.00","2,648.00","2,597.20","2,598.40","2,617.00","-","18.6","0.72","228501","59.98","3,210.00","2,355.00","-1.06","-11.26"
"LLOYDSME","1,818.00","1,859.40","1,818.00","1,813.00","1,845.00","-","32","1.77","320770","59.11","2,125.00","1,042.90","-10.03","38.01"
"IPCALAB","1,959.50","1,978.20","1,907.90","1,956.50","1,954.00","-","-2.5","-0.13","301813","58.50","2,001.50","1,251.60","13.24","44.53"
"VMM","109.10","109.49","106.50","108.57","107.80","-","-0.77","-0.71","5360663","57.58","155.32","98.77","-3.06","-26.44"
"PGEL","567.00","572.15","551.85","566.00","553.90","-","-12.1","-2.14","1028501","57.49","644.40","436.55","-10.37","0.13"
"KPITTECH","591.05","592.40","580.55","588.00","583.50","-","-4.5","-0.77","975708","56.94","1,328.00","543.00","-5.77","-52.03"
"TIINDIA","2,720.00","2,735.40","2,685.40","2,720.00","2,735.40","-","15.4","0.57","210450","56.92","3,419.90","2,164.90","-1.11","-10.13"
"EXIDEIND","427.05","430.00","421.60","425.65","422.80","-","-2.85","-0.67","1330665","56.48","496.40","287.00","-4.92","0.88"
"AEGISVOPAK","288.00","298.70","283.15","286.30","286.50","-","0.2","0.07","1926863","56.16","311.49","158.00","-5.07","17.43"
"360ONE","1,168.60","1,171.50","1,149.90","1,181.30","1,155.00","-","-26.3","-2.23","483291","56.06","1,236.20","906.05","0.63","11.04"
"NUVAMA","1,870.00","1,870.00","1,800.20","1,841.00","1,837.50","-","-3.5","-0.19","299410","54.87","2,066.00","1,096.90","4.07","40.7"
"GLAND","2,870.00","2,948.00","2,847.60","2,868.40","2,915.00","-","46.6","1.62","189288","54.77","3,039.80","1,573.60","13.02","55.32"
"PREMIERENE","1,004.80","1,013.20","995.10","1,000.00","1,008.00","-","8","0.8","543617","54.72","1,134.00","660.00","-1.24","-1.66"
"J&KBANK","146.10","151.98","146.00","144.44","149.35","-","4.91","3.4","3645652","54.68","201.75","97.35","-4.34","45.23"
"PPLPHARMA","214.93","216.90","211.81","213.78","214.26","-","0.48","0.22","2539339","54.37","220.36","132.30","7.52","6.51"
"AUBANK","1,082.00","1,083.30","1,066.10","1,077.90","1,072.00","-","-5.9","-0.55","506657","54.27","1,144.10","682.15","1.13","50.15"
"ECLERX","2,005.00","2,050.10","1,930.40","2,004.50","1,969.00","-","-35.5","-1.77","265250","52.48","2,497.50","1,320.00","2.43","-10.66"
"WELSPUNLIV","199.90","202.90","196.70","200.01","201.80","-","1.79","0.89","2611307","52.20","202.90","107.10","30.51","76.34"
"IDBI","92.25","93.45","91.60","91.55","91.85","-","0.3","0.33","5622919","52.01","118.38","61.01","8.43","1.36"
"AIAENG","4,201.20","4,320.00","4,182.10","4,159.70","4,266.70","-","107","2.57","121873","52.00","5,180.00","3,002.00","-8.92","38.74"
"PETRONET","289.20","293.20","289.20","289.20","289.50","-","0.3","0.1","1768347","51.56","326.40","235.35","1.63","4.46"
"BIOCON","402.50","405.70","400.60","401.00","402.00","-","1","0.25","1279896","51.52","447.15","337.05","-5.85","11.19"
"HAVELLS","1,200.00","1,205.30","1,190.10","1,193.00","1,200.00","-","7","0.59","424610","50.81","1,621.10","1,123.60","-6.61","-23.38"
"HDBFS","675.20","696.70","674.40","675.20","694.45","-","19.25","2.85","728505","50.22","801.10","555.30","1.4","-10.72"
"CLEAN","868.00","874.80","850.30","863.15","850.95","-","-12.2","-1.41","582257","50.03","1,217.90","652.00","11.36","-27.52"
"ALKEM","5,210.00","5,233.50","5,157.00","5,210.00","5,193.00","-","-17","-0.33","95991","49.77","5,933.50","5,075.00","-9.01","-1.87"
"THERMAX","3,780.30","3,821.90","3,710.00","3,752.50","3,717.00","-","-35.5","-0.95","130678","49.24","5,277.80","2,742.70","-9.83","14.02"
"FLUOROCHEM","4,728.00","4,829.00","4,675.00","4,727.70","4,688.00","-","-39.7","-0.84","101082","47.92","4,958.90","2,916.60","4.56","38.46"
"SHREECEM","23,680.00","24,050.00","23,575.00","23,680.00","23,910.00","-","230","0.97","20001","47.72","30,750.00","22,550.00","-11.44","-20.14"
"IRFC","82.84","83.70","82.05","82.48","82.65","-","0.17","0.21","5718670","47.45","137.17","81.30","-8.42","-33.12"
"PNBHOUSING","1,146.00","1,157.90","1,142.20","1,141.00","1,145.50","-","4.5","0.39","405993","46.73","1,211.50","729.60","5.09","44.66"
"USHAMART","505.00","517.50","504.05","501.60","517.00","-","15.4","3.07","910413","46.66","527.50","374.00","2.57","37.5"
"MOTILALOFS","1,020.00","1,033.20","1,006.80","1,017.60","1,012.80","-","-4.8","-0.47","456816","46.53","1,097.10","614.90","16.69","14.95"
"JPPOWER","16.46","16.60","16.09","16.37","16.18","-","-0.19","-1.16","28174660","45.92","24.50","13.15","-13.75","-11.87"
"KEC","410.00","411.95","399.55","407.80","406.00","-","-1.8","-0.44","1132222","45.92","937.80","399.55","-15.2","-52.11"
"MEDANTA","1,444.90","1,471.50","1,410.00","1,444.90","1,425.00","-","-19.9","-1.38","314253","44.71","1,544.00","956.00","-1.38","-0.15"
"KFINTECH","934.05","942.50","923.85","929.00","927.70","-","-1.3","-0.14","475352","44.25","1,215.00","784.95","-1.83","-13.06"
"CEMPRO","1,242.00","1,297.50","1,227.50","1,235.80","1,297.50","-","61.7","4.99","340226","43.81","1,649.20","503.30","-4.83","78.99"
"ZENSARTECH","463.90","468.00","455.60","460.55","467.00","-","6.45","1.4","934781","43.15","868.95","423.00","-9.85","-40.02"
"CROMPTON","228.00","229.61","226.06","227.72","226.51","-","-1.21","-0.53","1839272","41.83","337.50","217.40","-14.94","-31.9"
"SCHNEIDER","1,169.50","1,202.20","1,158.00","1,169.50","1,193.10","-","23.6","2.02","351366","41.55","1,548.00","571.85","-11.37","38.68"
"ZENTEC","1,861.00","1,866.40","1,795.00","1,829.10","1,813.30","-","-15.8","-0.86","226133","41.41","2,043.70","1,223.00","9.47","22.31"
"GABRIEL","1,383.00","1,403.90","1,342.00","1,384.90","1,345.00","-","-39.9","-2.88","302147","41.26","1,600.00","795.70","-11.94","9.98"
"CYIENT","1,121.10","1,128.90","1,100.10","1,122.20","1,111.00","-","-11.2","-1","370710","41.24","1,284.70","750.30","29.4","-7.66"
"MFSL","1,510.00","1,540.00","1,510.00","1,505.00","1,537.00","-","32","2.13","266041","40.82","1,892.50","1,433.60","-0.36","-4.97"
"GRAVITA","1,750.00","1,769.90","1,680.00","1,749.10","1,685.00","-","-64.1","-3.66","233119","39.88","1,913.60","1,266.90","1.27","-0.73"
"JBMA","623.95","643.80","620.55","621.50","626.50","-","5","0.8","622084","39.37","790.00","477.00","-5.45","1.96"
"CRAFTSMAN","11,011.00","11,315.00","11,011.00","10,999.00","11,166.00","-","167","1.52","35157","39.36","11,500.00","6,324.00","8","61.88"
"DRREDDY","1,162.00","1,164.30","1,155.00","1,156.50","1,155.00","-","-1.5","-0.13","338274","39.21","1,414.90","1,101.00","-2.12","-8.49"
"DEEPAKNTR","1,741.60","1,757.80","1,717.00","1,734.10","1,726.90","-","-7.2","-0.42","225803","39.18","1,904.40","1,280.00","0.76","-2.01"
"CHAMBLFERT","412.65","423.60","412.65","411.45","419.00","-","7.55","1.83","933299","39.11","580.70","399.75","-7.91","-26.46"
"TATACOMM","1,707.00","1,722.50","1,685.00","1,710.00","1,700.30","-","-9.7","-0.57","228034","38.65","2,110.00","1,322.50","-4.48","8.57"
"IREDA","113.30","114.55","112.91","112.55","113.00","-","0.45","0.4","3368996","38.24","163.35","108.65","-8.13","-22.44"
"LGEINDIA","1,655.00","1,672.50","1,641.00","1,653.20","1,659.00","-","5.8","0.35","230470","38.18","1,755.00","1,304.10","5.68","0"
"ACE","1,091.00","1,155.00","1,088.50","1,090.90","1,145.00","-","56.1","5.15","330531","37.29","1,196.00","745.10","3.58","4.39"
"HBLENGINE","664.05","670.60","660.00","660.20","667.00","-","6.8","1.03","559405","37.21","1,122.00","613.00","-9.77","-21.63"
"AMBUJACEM","404.00","405.05","401.80","402.70","405.00","-","2.3","0.57","918055","37.00","600.80","394.00","-8.78","-29.41"
"EMAMILTD","373.00","373.00","362.30","368.05","368.75","-","0.7","0.19","996480","36.76","618.00","361.15","-9.17","-37.6"
"APTUS","255.55","260.19","253.60","254.28","256.98","-","2.7","1.06","1420310","36.54","353.25","193.03","-2.51","-22.63"
"ELGIEQUIP","621.00","638.40","616.05","616.75","631.55","-","14.8","2.4","564479","35.72","644.00","408.25","8.4","28.65"
"ATUL","6,486.00","6,642.50","6,446.00","6,485.50","6,461.00","-","-24.5","-0.38","54621","35.65","7,180.00","5,560.50","-4.66","0.87"
"KPRMILL","1,172.00","1,196.40","1,157.30","1,167.40","1,173.00","-","5.6","0.48","302751","35.60","1,334.00","796.10","10.28","17.72"
"PIIND","2,394.00","2,430.40","2,381.60","2,393.00","2,419.90","-","26.9","1.12","143355","34.47","3,832.90","2,353.50","-13.36","-35.6"
"ACMESOLAR","398.45","404.90","396.85","398.25","400.55","-","2.3","0.58","854705","34.29","411.50","195.90","7.94","34.17"
"CREDITACC","1,405.00","1,449.00","1,400.50","1,403.40","1,437.00","-","33.6","2.39","236730","33.95","1,634.00","1,113.00","-7.78","3.95"
"GMDCLTD","560.00","568.55","559.90","557.65","565.10","-","7.45","1.34","594866","33.59","771.90","428.25","0.73","22.93"
"TENNIND","524.40","526.05","514.30","519.80","516.75","-","-3.05","-0.59","642129","33.38","657.00","438.05","-5.11","0"
"ABREL","1,340.70","1,386.90","1,340.70","1,331.10","1,379.30","-","48.2","3.62","242377","33.34","1,965.30","1,080.10","-3.69","-24.17"
"KPIL","1,425.90","1,452.70","1,412.30","1,410.50","1,418.00","-","7.5","0.53","230059","32.91","1,479.60","1,007.10","10.48","11.44"
"RKFORGE","731.20","742.50","722.65","726.10","726.90","-","0.8","0.11","443737","32.45","772.80","460.15","6.72","26.07"
"LALPATHLAB","1,927.20","1,934.90","1,902.30","1,916.10","1,927.00","-","10.9","0.57","168643","32.42","1,988.90","1,272.60","1.4","15.47"
"NEWGEN","525.00","527.50","514.50","519.30","519.20","-","-0.1","-0.02","624729","32.37","1,041.95","401.05","-7.74","-42.59"
"HONASA","471.70","480.25","468.35","469.95","476.85","-","6.9","1.47","649479","30.92","509.80","248.40","4.07","58.03"
"NTPCGREEN","88.25","89.59","87.90","88.12","88.82","-","0.7","0.79","3480259","30.84","119.95","84.00","-2.07","-15.49"
"NBCC","85.15","86.90","85.15","85.00","86.50","-","1.5","1.76","3561028","30.69","125.85","77.18","-9.42","-16.26"
"TITAGARH","828.00","851.00","824.40","824.95","845.00","-","20.05","2.43","365854","30.65","971.00","568.70","-1.64","-0.37"
"ARE&M","873.70","879.40","858.00","871.25","861.30","-","-9.95","-1.14","352946","30.56","1,057.85","670.00","-7.62","-15.7"
"SBFC","100.00","104.39","99.24","99.23","99.99","-","0.76","0.77","3008192","30.45","123.00","79.60","8.59","-7.24"
"TATAELXSI","3,630.00","3,637.10","3,580.00","3,609.00","3,580.00","-","-29","-0.8","83588","30.10","5,950.00","3,353.90","-4.84","-34.04"
"ATGL","618.80","622.00","612.95","614.95","614.00","-","-0.95","-0.15","486903","30.02","859.85","462.80","-8.03","2.82"
"AAVAS","1,264.90","1,304.50","1,262.00","1,258.70","1,298.00","-","39.3","3.12","230500","29.68","1,771.90","1,060.40","-9.8","-18.93"
"BLS","235.50","242.00","234.23","235.22","238.80","-","3.58","1.52","1230544","29.45","374.00","218.90","-4.77","-35.56"
"THELEELA","569.90","575.30","556.60","569.90","563.00","-","-6.9","-1.21","520191","29.40","582.85","384.50","12.2","36.45"
"CEATLTD","3,355.00","3,390.00","3,310.10","3,347.80","3,320.00","-","-27.8","-0.83","87197","29.21","4,438.00","3,061.20","-6.28","0.03"
"KIMS","755.20","775.30","755.20","753.65","768.90","-","15.25","2.02","377258","28.91","858.00","575.80","-6.3","4.24"
"ANANDRATHI","2,205.00","2,224.20","2,189.90","2,198.30","2,205.70","-","7.4","0.34","130218","28.66","2,242.00","1,353.85","7.14","50.72"
"AFCONS","285.10","296.00","285.00","285.10","293.75","-","8.65","3.03","973217","28.54","479.40","259.10","6.45","-32.35"
"LEMONTREE","106.41","107.10","104.70","106.18","105.00","-","-1.18","-1.11","2699116","28.47","180.68","99.61","-7.92","-38.13"
"TATACAP","364.85","372.80","364.75","364.75","372.20","-","7.45","2.04","768452","28.45","390.20","296.00","2.04","0"
"NLCINDIA","276.90","281.35","273.60","275.50","275.50","-","0","0","1025588","28.34","387.80","225.72","-7.57","18.38"
"ENDURANCE","2,760.00","2,811.00","2,735.80","2,755.90","2,752.50","-","-3.4","-0.12","98905","27.31","3,079.90","2,142.80","-1.26","-5.53"
"JKCEMENT","4,979.50","5,123.50","4,951.00","4,979.50","5,057.00","-","77.5","1.56","53939","26.91","7,114.00","4,671.50","-9.1","-25.14"
"AARTIIND","507.00","511.85","499.70","505.20","503.30","-","-1.9","-0.38","529276","26.73","551.75","338.05","3.39","30.57"
"JAINREC","284.00","289.60","278.55","282.15","281.85","-","-0.3","-0.11","927545","26.26","593.95","247.57","-19.52","0"
"SIGNATURE","765.80","806.65","765.80","765.30","796.00","-","30.7","4.01","320785","25.36","1,158.00","705.20","-4.52","-27.85"
"CONCOR","511.00","516.00","507.25","510.00","508.85","-","-1.15","-0.23","495860","25.32","569.80","421.45","-3.08","-7.28"
"GODFRYPHLP","2,050.00","2,055.50","2,030.00","2,025.40","2,045.00","-","19.6","0.97","123686","25.27","3,947.00","1,832.10","-8.99","-39.79"
"CENTRALBK","30.50","31.10","30.46","30.37","30.84","-","0.47","1.55","8184463","25.24","40.92","29.32","-1.97","-13.57"
"POLYMED","1,808.80","1,808.80","1,748.10","1,783.80","1,768.90","-","-14.9","-0.84","142292","25.20","2,144.90","1,182.00","2.37","-14.42"
"COHANCE","462.00","464.75","457.80","458.30","459.05","-","0.75","0.16","540229","24.95","1,038.90","266.70","7.92","-49.28"
"ICICIPRULI","504.50","504.50","492.50","499.50","495.05","-","-4.45","-0.89","501149","24.92","706.80","459.50","-5.23","-18.76"
"NCC","143.50","147.50","143.50","142.53","147.00","-","4.47","3.14","1686749","24.59","222.31","130.00","1.79","-30.94"
"FIVESTAR","525.00","538.00","523.80","524.85","537.50","-","12.65","2.41","461736","24.50","666.00","338.15","-2.52","0.81"
"RPOWER","22.16","22.51","21.97","22.05","22.10","-","0.05","0.23","10995033","24.36","50.73","20.17","-7.42","-53.72"
"SWANCORP","287.75","290.00","282.75","285.40","283.20","-","-2.2","-0.77","839586","24.08","506.00","282.20","-8.7","-38.56"
"NUVOCO","333.00","339.50","328.25","328.15","337.50","-","9.35","2.85","705546","23.63","477.50","276.25","-3.74","-27.03"
"MANKIND","2,390.00","2,390.00","2,355.40","2,391.50","2,368.80","-","-22.7","-0.95","98805","23.38","2,674.00","1,909.70","-4.6","-7.44"
"SONATSOFTW","290.00","293.35","283.50","289.30","284.60","-","-4.7","-1.62","812250","23.33","421.50","207.15","-17.71","-20.85"
"GPIL","240.99","243.08","237.22","239.39","240.20","-","0.81","0.34","966236","23.12","320.00","221.21","-1.71","-3.14"
"MSUMI","36.71","37.20","36.50","36.60","37.00","-","0.4","1.09","6249596","22.98","53.59","35.70","-10.8","-13.69"
"TARIL","304.80","305.80","300.00","302.00","300.70","-","-1.3","-0.43","757858","22.93","552.00","224.05","1.76","-40.64"
"NH","1,928.20","1,929.40","1,877.00","1,922.70","1,885.50","-","-37.2","-1.93","120292","22.80","2,093.30","1,589.00","-1.78","4.22"
"TATACHEM","637.15","646.00","630.00","633.95","643.00","-","9.05","1.43","356223","22.72","1,026.65","580.30","-4.69","-31.54"
"INDGN","603.55","605.00","597.05","600.15","600.00","-","-0.15","-0.02","376522","22.63","615.50","414.00","10.04","8.5"
"POONAWALLA","462.50","467.35","458.35","459.65","467.05","-","7.4","1.61","474848","21.99","570.40","361.20","-1.03","5.44"
"PFOCUS","286.90","294.00","280.35","280.35","290.95","-","10.6","3.78","735719","21.32","367.00","141.00","-2.61","104.88"
"ABSLAMC","1,026.00","1,049.90","1,018.20","1,022.00","1,047.50","-","25.5","2.5","201804","21.02","1,224.90","708.00","2.92","25.67"
"UBL","1,289.00","1,325.40","1,279.70","1,282.60","1,284.00","-","1.4","0.11","161022","20.83","1,874.00","1,276.00","-10.73","-29.81"
"BAJAJHFL","82.96","83.47","82.50","82.78","83.02","-","0.24","0.29","2477489","20.54","117.00","72.65","-4.41","-26.65"
"COROMANDEL","1,916.00","1,952.30","1,914.10","1,914.60","1,930.00","-","15.4","0.8","106307","20.51","2,499.00","1,706.50","-8.76","-18.04"
