SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (₹ Crores),52 WEEK HIGH,52 WEEK LOW,30 D %CHNG,365 D %CHNG
"GODREJCP","893.00","893.00","859.55","905.00","880.00","-","-25","-2.76","7283971","635.81","1,309.00","859.55","-18.96","-31.01"
"BALRAMCHIN","670.50","722.00","665.05","669.75","703.45","-","33.7","5.03","8596034","602.37","780.95","393.55","8.76","25.72"
"M&M","3,200.00","3,210.00","3,150.00","3,190.00","3,150.00","-","-40","-1.25","1826312","579.49","3,839.90","2,896.00","-8.13","-4.14"
"ADANIPORTS","1,694.90","1,710.80","1,681.80","1,672.70","1,706.50","-","33.8","2.02","3370497","574.14","1,891.10","1,292.00","0.32","28.08"
"ETERNAL","327.80","331.00","324.15","327.30","324.80","-","-2.5","-0.76","15603719","511.01","368.45","212.60","4.61","-0.4"
"ITC","266.50","267.60","262.35","266.30","263.00","-","-3.3","-1.24","17813663","471.15","427.00","255.50","-8.36","-36.13"
"MARUTI","12,853.00","12,927.00","12,780.00","12,849.00","12,857.00","-","8","0.06","362982","467.04","17,370.00","12,201.00","-9.14","-13.87"
"DIVISLAB","9,253.00","9,282.00","9,184.00","9,220.00","9,250.00","-","30","0.33","497269","458.80","9,467.00","5,636.50","7.75","50.06"
"KALYANKJIL","592.95","597.50","583.35","590.00","585.30","-","-4.7","-0.8","7595621","447.85","648.95","327.05","-3.73","13.85"
"TCS","2,353.60","2,353.60","2,316.10","2,348.00","2,320.10","-","-27.9","-1.19","1892786","441.47","3,350.00","1,976.80","-6.21","-25.1"
"AXISBANK","1,265.00","1,278.90","1,260.20","1,253.90","1,267.00","-","13.1","1.04","3309215","420.96","1,418.30","1,045.00","-0.39","20.13"
"MAHABANK","83.15","87.35","82.82","82.40","86.32","-","3.92","4.76","48646685","419.67","94.50","51.84","8.48","63.42"
"IDFCFIRSTB","85.09","88.10","85.04","85.09","87.50","-","2.41","2.83","48178595","419.54","88.76","58.08","1.74","23.96"
"TATASTEEL","184.11","187.65","182.00","183.85","184.20","-","0.35","0.19","21964971","404.27","224.40","155.50","-3.56","9.74"
"INDIGO","5,035.00","5,047.00","4,925.00","5,020.00","4,980.00","-","-40","-0.8","801486","398.48","5,970.00","3,895.20","-7.78","-13.24"
"BHARATFORG","2,025.00","2,033.00","1,978.30","2,031.80","1,981.00","-","-50.8","-2.5","1921003","383.42","2,295.00","1,115.60","-10.4","74.45"
"IDEA","14.63","14.72","14.44","14.53","14.48","-","-0.05","-0.34","261299227","379.93","15.37","6.46","12.6","120.4"
